Sort code,Jurisdiction,Drug class code,Drug class,Age group,Sex , TPS ($ 000) ,"Proportion 
of TPS (%)","Rate of 
use (%)", Number of active beneficiaries ,Rank
1,Canada,G04BD,Drugs for urinary frequency and incontinence,Total,Total,"79,169.57",0.5,2,"278,005",40
1,Canada,B01AB,Heparin group,Total,Total,"74,299.50",0.5,0.5,"70,152",41
1,Canada,L02BX,Other hormone antagonists and related agents,Total,Total,"74,004.74",0.5,0,"4,718",42
1,Canada,A10BA,Biguanides,Total,Total,"72,198.32",0.5,8.7,"1,216,175",43
1,Canada,H01CB,Somatostatin and analogues,Total,Total,"71,497.40",0.5,0,"4,700",44
1,Canada,G04CA,Alpha-adrenoreceptor antagonists,Total,Total,"70,327.27",0.5,4.9,"690,391",45
1,Canada,R03AC,Selective beta-2-adrenoreceptor agonists,Total,Total,"65,485.14",0.4,12.8,"1,790,869",46
1,Canada,L04AD,Calcineurin inhibitors,Total,Total,"63,134.44",0.4,0.1,"20,356",47
1,Canada,M03AX,"Other muscle relaxants, peripherally acting agents",Total,Total,"62,743.59",0.4,0.2,"30,065",48
1,Canada,N05BA,Benzodiazepine derivatives,Total,Total,"62,642.55",0.4,7.7,"1,080,957",49
1,Canada,S01EE,Prostaglandin analogues,Total,Total,"61,820.65",0.4,2.2,"305,843",50
1,Canada,A11CC,Vitamin D and analogues,Total,Total,"61,148.23",0.4,5.6,"784,815",51
1,Canada,L02BB,Antiandrogens,Total,Total,"60,119.14",0.4,0.1,"17,047",52
1,Canada,S01ED,Beta-blocking agents,Total,Total,"56,677.43",0.4,2.1,"300,668",53
1,Canada,R03AL,"Adrenergics in combination with anticholinergics, including triple combinations with corticosteroids",Total,Total,"56,064.74",0.4,0.9,"126,792",54
1,Canada,C08DB,Benzothiazepine derivatives,Total,Total,"54,987.21",0.4,1.7,"236,538",55
1,Canada,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations",Total,Total,"53,652.35",0.4,0.2,"27,223",56
1,Canada,A07EC,Aminosalicylic acid and similar agents,Total,Total,"52,954.28",0.4,0.6,"91,091",57
1,Canada,N04BA,Dopa and dopa derivatives,Total,Total,"50,768.34",0.3,0.6,"82,419",58
1,Canada,N02AJ,Opioids in combination with non-opioid analgesics,Total,Total,"50,430.82",0.3,8,"1,123,150",59
1,Canada,A16AB,Enzymes,Total,Total,"50,397.82",0.3,0,103,60
1,Canada,C03CA,"Sulfonamides, plain",Total,Total,"48,023.71",0.3,4.6,"645,295",61
1,Canada,L01XC,Monoclonal antibodies,Total,Total,"47,944.28",0.3,0,"4,324",62
1,Canada,N06AA,Non-selective monoamine reuptake inhibitors,Total,Total,"43,606.99",0.3,3.1,"436,824",63
1,Canada,C10AX,Other lipid-modifying agents,Total,Total,"42,640.24",0.3,1.9,"259,436",64
1,Canada,G03CA,"Natural and semisynthetic estrogens, plain",Total,Total,"42,551.01",0.3,2.7,"383,173",65
1,Canada,A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,Total,Total,"41,902.37",0.3,0.3,"44,859",66
1,Canada,C09DA,Angiotensin II receptor blockers (ARBs) and diuretics,Total,Total,"41,776.15",0.3,3.2,"447,373",67
1,Canada,L03AB,Interferons,Total,Total,"41,643.53",0.3,0,"2,735",68
1,Canada,A10BB,Sulfonylureas,Total,Total,"41,636.46",0.3,3.4,"476,474",69
1,Canada,N06DA,Anticholinesterases,Total,Total,"41,606.94",0.3,0.9,"130,939",70
1,Canada,N02BA,Salicylic acid and derivatives,Total,Total,"41,304.12",0.3,3.5,"490,296",71
1,Canada,V06DB,"Fats/carbohydrates/proteins/minerals/vitamins, combinations",Total,Total,"40,245.16",0.3,0.2,"25,290",72
1,Canada,J05AX,Other antivirals,Total,Total,"40,097.29",0.3,0.1,"7,451",73
1,Canada,R01AD,Corticosteroids,Total,Total,"40,069.91",0.3,6.8,"949,922",74
1,Canada,C09BA,ACE inhibitors and diuretics,Total,Total,"39,830.71",0.3,2.3,"324,290",75
1,Canada,B01AE,Direct thrombin inhibitors,Total,Total,"39,722.46",0.3,0.3,"44,937",76
1,Canada,N02BE,Anilides,Total,Total,"37,849.68",0.3,7,"981,091",77
1,Canada,N07BA,Drugs used in nicotine dependence,Total,Total,"34,885.93",0.2,1.7,"236,260",78
1,Canada,N03AG,Fatty acid derivatives,Total,Total,"33,746.83",0.2,0.7,"100,221",79
1,Canada,L03AX,Other immunostimulants,Total,Total,"33,726.74",0.2,0,"3,181",80
1,Canada,G04CB,Testosterone-5-alpha reductase inhibitors,Total,Total,"33,236.00",0.2,1.9,"271,409",81
1,Canada,C02KX,Antihypertensives for pulmonary arterial hypertension,Total,Total,"32,767.18",0.2,0,"1,518",82
1,Canada,N03AE,Benzodiazepine derivatives,Total,Total,"32,656.38",0.2,2.4,"331,909",83
1,Canada,A12AX,"Calcium, combinations with vitamin D and/or other drugs",Total,Total,"31,637.35",0.2,2.3,"328,701",84
1,Canada,D07AC,"Corticosteroids, potent (group III)",Total,Total,"29,715.20",0.2,8.6,"1,200,182",85
1,Canada,A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",Total,Total,"29,597.75",0.2,0.3,"47,409",86
1,Canada,A04AD,Other antiemetics,Total,Total,"29,079.36",0.2,0.4,"53,240",87
1,Canada,H02AB,Glucocorticoids,Total,Total,"28,719.33",0.2,8.3,"1,165,220",88
1,Canada,G03AA,"Progestogens and estrogens, fixed combinations",Total,Total,"27,636.98",0.2,3.6,"501,105",89
1,Canada,B03AA,"Iron bivalent, oral preparations",Total,Total,"27,384.91",0.2,3,"427,007",90
1,Canada,L01XX,Other antineoplastic agents,Total,Total,"27,321.07",0.2,0.1,"12,267",91
1,Canada,M01AE,Propionic acid derivatives,Total,Total,"27,162.52",0.2,8.6,"1,206,019",92
1,Canada,C01CA,Adrenergic and dopaminergic agents,Total,Total,"26,505.46",0.2,1.4,"195,525",93
1,Canada,C01DA,Organic nitrates,Total,Total,"26,263.42",0.2,2.5,"347,440",94
1,Canada,J01CA,Penicillins with extended spectrum,Total,Total,"26,183.35",0.2,14.8,"2,071,571",95
1,Canada,J05AE,Protease inhibitors,Total,Total,"25,376.15",0.2,0,"3,752",96
1,Canada,A02BA,H2-receptor antagonists,Total,Total,"24,411.21",0.2,3,"419,654",97
1,Canada,N05AE,Indole derivatives,Total,Total,"24,131.15",0.2,0.1,"19,681",98
1,Canada,J05AB,"Nucleosides and nucleotides, excluding reverse transcriptase inhibitors",Total,Total,"24,005.00",0.2,3.2,"443,902",99
1,Canada,M04AA,Preparations inhibiting uric acid production,Total,Total,"23,783.87",0.2,2.4,"334,400",100
1,Canada,L04AB,Tumour necrosis factor alpha (TNF-a) inhibitors,Total,M,"607,001.13",8.2,0.5,"30,001",1
1,Canada,J05AP,Antivirals for treatment of HCV infections,Total,M,"420,507.25",5.7,0.1,"8,161",2
1,Canada,S01LA,Antineovascularization agents,Total,M,"330,499.82",4.5,0.6,"34,825",3
1,Canada,L01XE,Protein kinase inhibitors,Total,M,"279,438.95",3.8,0.1,"7,514",4
1,Canada,L04AX,Other immunosuppressants,Total,M,"223,688.04",3,0.3,"17,844",5
1,Canada,N05AX,Other antipsychotics,Total,M,"208,704.97",2.8,2.4,"149,674",6
1,Canada,B01AF,Direct factor Xa inhibitors,Total,M,"204,579.76",2.8,4.2,"262,362",7
1,Canada,J05AR,"Antivirals for treatment of HIV infections, combinations",Total,M,"162,589.12",2.2,0.3,"20,938",8
1,Canada,C10AA,HMG-CoA reductase inhibitors,Total,M,"155,701.09",2.1,31.8,"1,996,005",9
1,Canada,L04AA,Selective immunosuppressants,Total,M,"148,940.10",2,0.4,"22,615",10
1,Canada,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excluding anticholinergics",Total,M,"140,450.54",1.9,4,"247,915",11
1,Canada,A10BD,Combinations of oral blood glucose–lowering drugs,Total,M,"140,074.17",1.9,2.6,"163,142",12
1,Canada,A10AE,"Insulins and analogues for injection, long-acting",Total,M,"133,535.30",1.8,2.7,"170,680",13
1,Canada,A10BK,Sodium–glucose co-transporter 2 (SGLT2) inhibitors,Total,M,"126,741.99",1.7,2.8,"177,386",14
1,Canada,A10BH,Dipeptidyl peptidase-4 (DPP-4) inhibitors,Total,M,"124,524.16",1.7,2.5,"153,872",15
1,Canada,N07BC,Drugs used in opioid dependence,Total,M,"114,341.78",1.6,1,"63,506",16
1,Canada,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",Total,M,"105,765.84",1.4,4.2,"261,091",17
1,Canada,A02BC,Proton pump inhibitors,Total,M,"103,598.93",1.4,18.5,"1,161,205",18
1,Canada,L04AC,Interleukin inhibitors,Total,M,"95,204.80",1.3,0.1,"6,101",19
1,Canada,L02AE,Gonadotropin-releasing hormone analogues,Total,M,"94,078.24",1.3,0.5,"29,428",20
1,Canada,N06BA,Centrally acting sympathomimetics,Total,M,"94,027.44",1.3,3.2,"199,138",21
1,Canada,N03AX,Other antiepileptics,Total,M,"84,339.66",1.1,6.2,"388,300",22
1,Canada,N02AA,Natural opium alkaloids,Total,M,"79,982.42",1.1,5.4,"341,262",23
1,Canada,C09AA,"ACE inhibitors, plain",Total,M,"74,777.26",1,16.2,"1,019,136",24
1,Canada,N06AX,Other antidepressants,Total,M,"74,699.54",1,7.8,"490,753",25
1,Canada,L02BX,Other hormone antagonists and related agents,Total,M,**,**,**,**,26
1,Canada,R03BB,Anticholinergics,Total,M,"73,864.93",1,3.7,"230,932",27
1,Canada,C08CA,Dihydropyridine derivatives,Total,M,"73,645.21",1,12.9,"809,420",28
1,Canada,G04CA,Alpha-adrenoreceptor antagonists,Total,M,"67,436.61",0.9,10.5,"658,202",29
1,Canada,N06AB,Selective serotonin reuptake inhibitors,Total,M,"63,277.43",0.9,8.2,"517,285",30
1,Canada,L02BB,Antiandrogens,Total,M,"60,098.11",0.8,0.3,"17,008",31
1,Canada,A10AB,"Insulins and analogues for injection, fast-acting",Total,M,"56,966.58",0.8,2,"125,000",32
1,Canada,C07AB,"Beta-blocking agents, selective",Total,M,"55,184.01",0.8,13.2,"830,922",33
1,Canada,C09CA,"Angiotensin II receptor blockers (ARBs), plain",Total,M,"50,589.45",0.7,8.3,"522,408",34
1,Canada,R03BA,Glucocorticoids,Total,M,"47,843.45",0.7,5.8,"366,030",35
1,Canada,B03XA,Other antianemic preparations,Total,M,"47,520.39",0.6,0.1,"9,345",36
1,Canada,B01AC,"Platelet aggregation inhibitors, excluding heparin",Total,M,"42,541.98",0.6,3.7,"234,583",37
1,Canada,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations",Total,M,"40,003.94",0.5,0.3,"20,292",38
1,Canada,L04AD,Calcineurin inhibitors,Total,M,"38,242.50",0.5,0.2,"12,283",39
1,Canada,A10BA,Biguanides,Total,M,"36,393.95",0.5,10.4,"650,981",40
1,Canada,H01CB,Somatostatin and analogues,Total,M,"36,352.12",0.5,0,"2,133",41
1,Canada,B01AB,Heparin group,Total,M,"35,829.31",0.5,0.5,"30,854",42
1,Canada,L03AA,Colony-stimulating factors,Total,M,"34,537.29",0.5,0.1,"7,029",43
1,Canada,G04CB,Testosterone-5-alpha reductase inhibitors,Total,M,"33,115.78",0.5,4.3,"269,867",44
1,Canada,R03DX,Other systemic drugs for obstructive airway diseases,Total,M,"33,041.85",0.4,0,"2,108",45
1,Canada,A16AB,Enzymes,Total,M,"32,378.93",0.4,0,65,46
1,Canada,N04BA,Dopa and dopa derivatives,Total,M,"30,192.78",0.4,0.7,"45,878",47
1,Canada,J05AX,Other antivirals,Total,M,"29,945.40",0.4,0.1,"5,047",48
1,Canada,R03AL,"Adrenergics in combination with anticholinergics, including triple combinations with corticosteroids",Total,M,"29,666.28",0.4,1,"65,025",49
1,Canada,R03AC,Selective beta-2-adrenoreceptor agonists,Total,M,"29,397.37",0.4,12.5,"781,892",50
1,Canada,G04BD,Drugs for urinary frequency and incontinence,Total,M,"27,349.78",0.4,1.5,"93,865",51
1,Canada,S01EE,Prostaglandin analogues,Total,M,"26,293.75",0.4,2.2,"135,633",52
1,Canada,A07EC,Aminosalicylic acid and similar agents,Total,M,"25,531.62",0.3,0.6,"40,736",53
1,Canada,S01ED,Beta-blocking agents,Total,M,"25,528.86",0.3,2.2,"140,688",54
1,Canada,H03AA,Thyroid hormones,Total,M,"25,240.40",0.3,6.1,"383,850",55
1,Canada,N05BA,Benzodiazepine derivatives,Total,M,"23,984.92",0.3,5.9,"370,436",56
1,Canada,V06DB,"Fats/carbohydrates/proteins/minerals/vitamins, combinations",Total,M,"23,691.44",0.3,0.2,"14,083",57
1,Canada,M03AX,"Other muscle relaxants, peripherally acting agents",Total,M,"22,987.31",0.3,0.2,"9,648",58
1,Canada,C10AX,Other lipid-modifying agents,Total,M,"22,981.12",0.3,2.3,"144,671",59
1,Canada,B01AE,Direct thrombin inhibitors,Total,M,"22,710.41",0.3,0.4,"26,268",60
1,Canada,N02AJ,Opioids in combination with non-opioid analgesics,Total,M,"22,532.26",0.3,8.3,"519,120",61
1,Canada,A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,Total,M,"22,431.10",0.3,0.4,"23,365",62
1,Canada,C08DB,Benzothiazepine derivatives,Total,M,"22,180.86",0.3,1.6,"99,149",63
1,Canada,A10BB,Sulfonylureas,Total,M,"21,908.02",0.3,4.2,"266,499",64
1,Canada,N02BA,Salicylic acid and derivatives,Total,M,"21,614.13",0.3,4.3,"269,895",65
1,Canada,A11CC,Vitamin D and analogues,Total,M,"20,990.65",0.3,3.8,"235,334",66
1,Canada,C09BA,ACE inhibitors and diuretics,Total,M,"20,630.73",0.3,2.7,"172,150",67
1,Canada,C03CA,"Sulfonamides, plain",Total,M,"20,303.26",0.3,4.7,"291,878",68
1,Canada,J05AE,Protease inhibitors,Total,M,"19,336.42",0.3,0,"2,760",69
1,Canada,N03AG,Fatty acid derivatives,Total,M,"19,117.41",0.3,0.8,"52,964",70
1,Canada,M05BX,Other drugs affecting bone structure and mineralization,Total,M,"18,289.40",0.2,0.3,"16,306",71
1,Canada,N07BA,Drugs used in nicotine dependence,Total,M,"18,047.24",0.2,1.9,"121,521",72
1,Canada,R01AD,Corticosteroids,Total,M,"17,394.76",0.2,6.3,"392,452",73
1,Canada,C09DA,Angiotensin II receptor blockers (ARBs) and diuretics,Total,M,"17,175.02",0.2,3.1,"196,170",74
1,Canada,M05BA,Bisphosphonates,Total,M,"16,861.33",0.2,1.3,"84,700",75
1,Canada,G03BA,3-oxoandrosten (4) derivatives,Total,M,"16,676.93",0.2,0.7,"45,866",76
1,Canada,M04AA,Preparations inhibiting uric acid production,Total,M,"15,939.77",0.2,3.9,"244,520",77
1,Canada,N06DA,Anticholinesterases,Total,M,"15,201.55",0.2,0.8,"50,519",78
1,Canada,N06AA,Non-selective monoamine reuptake inhibitors,Total,M,"15,174.77",0.2,2.2,"137,602",79
1,Canada,A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",Total,M,"14,912.55",0.2,0.4,"23,813",80
1,Canada,D07AC,"Corticosteroids, potent (group III)",Total,M,"14,336.90",0.2,8.5,"535,586",81
1,Canada,L01XC,Monoclonal antibodies,Total,M,"14,050.63",0.2,0,"1,347",82
1,Canada,N03AE,Benzodiazepine derivatives,Total,M,"13,996.31",0.2,2,"123,624",83
1,Canada,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia,Total,M,"13,649.22",0.2,0.3,"21,886",84
1,Canada,N02BE,Anilides,Total,M,"13,546.68",0.2,6.2,"389,489",85
1,Canada,C01CA,Adrenergic and dopaminergic agents,Total,M,"12,950.57",0.2,1.4,"87,751",86
1,Canada,C01DA,Organic nitrates,Total,M,"12,773.95",0.2,3.1,"194,395",87
1,Canada,H01AC,Somatropin and somatropin agonists,Total,M,"12,739.08",0.2,0,"1,264",88
1,Canada,R07AX,Other respiratory system products,Total,M,"12,506.04",0.2,0,55,89
1,Canada,A09AA,Enzyme preparations,Total,M,"12,407.38",0.2,0.2,"13,272",90
1,Canada,A04AD,Other antiemetics,Total,M,"12,256.32",0.2,0.3,"21,000",91
1,Canada,H02AB,Glucocorticoids,Total,M,"12,141.85",0.2,8.1,"506,855",92
1,Canada,V03AC,Iron-chelating agents,Total,M,"12,114.07",0.2,0,609,93
1,Canada,J01CA,Penicillins with extended spectrum,Total,M,"12,033.94",0.2,15,"941,295",94
1,Canada,M01AE,Propionic acid derivatives,Total,M,"11,852.59",0.2,8.3,"520,520",95
1,Canada,A10AC,"Insulins and analogues for injection, intermediate-acting",Total,M,"11,770.33",0.2,0.7,"41,087",96
1,Canada,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,Total,M,"10,776.63",0.1,0.1,"9,001",97
1,Canada,L01XX,Other antineoplastic agents,Total,M,"10,549.26",0.1,0.1,"5,262",98
1,Canada,N03AF,Carboxamide derivatives,Total,M,"10,504.94",0.1,0.5,"31,603",99
1,Canada,L03AB,Interferons,Total,M,"10,395.84",0.1,0,719,100
1,Canada,L04AB,Tumour necrosis factor alpha (TNF-a) inhibitors,Total,F,"626,867.11",8.2,0.5,"35,512",1
1,Canada,S01LA,Antineovascularization agents,Total,F,"443,961.13",5.8,0.6,"45,217",2
1,Canada,L01XE,Protein kinase inhibitors,Total,F,"286,732.83",3.8,0.1,"7,804",3
1,Canada,L04AA,Selective immunosuppressants,Total,F,"279,486.66",3.7,0.5,"35,644",4
1,Canada,J05AP,Antivirals for treatment of HCV infections,Total,F,"217,990.54",2.9,0.1,"4,280",5
1,Canada,B01AF,Direct factor Xa inhibitors,Total,F,"197,555.04",2.6,3.2,"249,889",6
1,Canada,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excluding anticholinergics",Total,F,"183,541.19",2.4,4.4,"339,002",7
1,Canada,L04AX,Other immunosuppressants,Total,F,"176,321.46",2.3,0.3,"24,155",8
1,Canada,C10AA,HMG-CoA reductase inhibitors,Total,F,"151,177.48",2,22.1,"1,707,700",9
1,Canada,A02BC,Proton pump inhibitors,Total,F,"151,026.86",2,20.5,"1,585,086",10
1,Canada,N06AX,Other antidepressants,Total,F,"133,270.93",1.8,11.2,"868,876",11
1,Canada,N05AX,Other antipsychotics,Total,F,"123,739.98",1.6,2,"154,202",12
1,Canada,A10BH,Dipeptidyl peptidase-4 (DPP-4) inhibitors,Total,F,"121,385.05",1.6,1.9,"145,139",13
1,Canada,M05BX,Other drugs affecting bone structure and mineralization,Total,F,"114,151.48",1.5,2.2,"173,150",14
1,Canada,N03AX,Other antiepileptics,Total,F,"113,537.96",1.5,7.5,"578,968",15
1,Canada,N06AB,Selective serotonin reuptake inhibitors,Total,F,"112,909.01",1.5,13.2,"1,020,436",16
1,Canada,A10AE,"Insulins and analogues for injection, long-acting",Total,F,"111,398.65",1.5,1.9,"148,870",17
1,Canada,L04AC,Interleukin inhibitors,Total,F,"105,908.18",1.4,0.1,"7,708",18
1,Canada,A10BD,Combinations of oral blood glucose–lowering drugs,Total,F,"104,480.50",1.4,1.6,"119,793",19
1,Canada,C08CA,Dihydropyridine derivatives,Total,F,"92,924.36",1.2,11.6,"894,617",20
1,Canada,A10BK,Sodium–glucose co-transporter 2 (SGLT2) inhibitors,Total,F,"88,289.51",1.2,1.6,"122,588",21
1,Canada,N02AA,Natural opium alkaloids,Total,F,"85,891.37",1.1,5.8,"445,178",22
1,Canada,N07BC,Drugs used in opioid dependence,Total,F,"82,812.34",1.1,0.6,"45,418",23
1,Canada,R03BB,Anticholinergics,Total,F,"78,279.73",1,3.2,"250,395",24
1,Canada,C09CA,"Angiotensin II receptor blockers (ARBs), plain",Total,F,"76,017.43",1,8.9,"687,610",25
1,Canada,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",Total,F,"75,982.18",1,3.9,"303,600",26
1,Canada,H03AA,Thyroid hormones,Total,F,"74,583.55",1,15.2,"1,174,883",27
1,Canada,C09AA,"ACE inhibitors, plain",Total,F,"70,574.45",0.9,10.7,"826,832",28
1,Canada,R03BA,Glucocorticoids,Total,F,"65,694.71",0.9,6.2,"475,290",29
1,Canada,M05BA,Bisphosphonates,Total,F,"64,668.85",0.8,4.8,"374,202",30
1,Canada,C07AB,"Beta-blocking agents, selective",Total,F,"60,144.24",0.8,9.9,"768,124",31
1,Canada,N06BA,Centrally acting sympathomimetics,Total,F,"57,318.38",0.8,1.7,"129,609",32
1,Canada,L03AA,Colony-stimulating factors,Total,F,"53,194.43",0.7,0.1,"10,969",33
1,Canada,G04BD,Drugs for urinary frequency and incontinence,Total,F,"51,801.67",0.7,2.4,"184,073",34
1,Canada,R03DX,Other systemic drugs for obstructive airway diseases,Total,F,"50,387.04",0.7,0,"3,530",35
1,Canada,J05AR,"Antivirals for treatment of HIV infections, combinations",Total,F,"48,424.09",0.6,0.1,"6,367",36
1,Canada,A10AB,"Insulins and analogues for injection, fast-acting",Total,F,"46,370.20",0.6,1.4,"111,848",37
1,Canada,B01AC,"Platelet aggregation inhibitors, excluding heparin",Total,F,"42,552.36",0.6,2.2,"168,595",38
1,Canada,G03CA,"Natural and semisynthetic estrogens, plain",Total,F,"41,835.67",0.5,4.9,"379,171",39
1,Canada,A11CC,Vitamin D and analogues,Total,F,"40,061.45",0.5,7.1,"545,930",40
1,Canada,M03AX,"Other muscle relaxants, peripherally acting agents",Total,F,"39,742.59",0.5,0.3,"20,413",41
1,Canada,B03XA,Other antianemic preparations,Total,F,"39,733.45",0.5,0.1,"8,627",42
1,Canada,N05BA,Benzodiazepine derivatives,Total,F,"38,644.23",0.5,9.2,"710,273",43
1,Canada,B01AB,Heparin group,Total,F,"38,457.38",0.5,0.5,"39,263",44
1,Canada,R03AC,Selective beta-2-adrenoreceptor agonists,Total,F,"36,029.94",0.5,13,"1,006,815",45
1,Canada,A10BA,Biguanides,Total,F,"35,775.71",0.5,7.3,"564,709",46
1,Canada,S01EE,Prostaglandin analogues,Total,F,"35,514.17",0.5,2.2,"170,166",47
1,Canada,H01CB,Somatostatin and analogues,Total,F,"35,139.65",0.5,0,"2,566",48
1,Canada,L01XC,Monoclonal antibodies,Total,F,"33,893.65",0.4,0,"2,977",49
1,Canada,C08DB,Benzothiazepine derivatives,Total,F,"32,800.50",0.4,1.8,"137,366",50
1,Canada,L03AB,Interferons,Total,F,"31,247.69",0.4,0,"2,016",51
1,Canada,S01ED,Beta-blocking agents,Total,F,"31,137.15",0.4,2.1,"159,910",52
1,Canada,N06AA,Non-selective monoamine reuptake inhibitors,Total,F,"28,418.67",0.4,3.9,"299,003",53
1,Canada,N02AJ,Opioids in combination with non-opioid analgesics,Total,F,"27,884.06",0.4,7.8,"603,627",54
1,Canada,C03CA,"Sulfonamides, plain",Total,F,"27,709.26",0.4,4.6,"353,228",55
1,Canada,G03AA,"Progestogens and estrogens, fixed combinations",Total,F,"27,614.92",0.4,6.5,"500,828",56
1,Canada,A07EC,Aminosalicylic acid and similar agents,Total,F,"27,415.02",0.4,0.7,"50,343",57
1,Canada,N06DA,Anticholinesterases,Total,F,"26,400.53",0.3,1,"80,401",58
1,Canada,R03AL,"Adrenergics in combination with anticholinergics, including triple combinations with corticosteroids",Total,F,"26,392.13",0.3,0.8,"61,747",59
1,Canada,A12AX,"Calcium, combinations with vitamin D and/or other drugs",Total,F,"25,451.08",0.3,3.5,"269,471",60
1,Canada,L04AD,Calcineurin inhibitors,Total,F,"24,890.55",0.3,0.1,"8,070",61
