Sort code,Jurisdiction,Drug class code,Drug class,Age group,Sex ," TPS
($ 000) ","Proportion 
of TPS (%)","Rate of 
use (%)",Number of active beneficiaries,Rank
1,Canada,L02BX,Other hormone antagonists and related agents,Total,Total,"59,518.12",0.4,0.0,"3,868",47
1,Canada,S01EE,Prostaglandin analogues,Total,Total,"57,193.79",0.4,2.4,"298,950",48
1,Canada,N02AJ,Opioids in combination with non-opioid analgesics,Total,Total,"56,884.27",0.4,10.3,"1,261,292",49
1,Canada,L04AD,Calcineurin inhibitors,Total,Total,"56,770.35",0.4,0.1,"18,419",50
1,Canada,C08DB,Benzothiazepine derivatives,Total,Total,"56,166.32",0.4,1.9,"239,168",51
1,Canada,N06DA,Anticholinesterases,Total,Total,"55,533.43",0.4,1.1,"141,243",52
1,Canada,C09DA,Angiotensin II antagonists and diuretics,Total,Total,"55,468.65",0.4,3.9,"473,781",53
1,Canada,S01ED,Beta-blocking agents,Total,Total,"54,090.78",0.4,2.3,"278,758",54
1,Canada,A11CC,Vitamin D and analogues,Total,Total,"54,035.47",0.4,5.6,"683,289",55
1,Canada,B01AE,Direct thrombin inhibitors,Total,Total,"52,701.21",0.4,0.4,"55,094",56
1,Canada,C03CA,"Sulfonamides, plain",Total,Total,"51,519.59",0.4,5.2,"633,825",57
1,Canada,L03AB,Interferons,Total,Total,"50,676.03",0.4,0.0,"3,406",58
1,Canada,M03AX,"Other muscle relaxants, peripherally acting agents",Total,Total,"49,017.09",0.4,0.2,"24,259",59
1,Canada,N07XX,Other nervous system drugs,Total,Total,"48,468.69",0.4,0.0,"5,067",60
1,Canada,A07EC,Aminosalicylic acid and similar agents,Total,Total,"46,476.41",0.3,0.7,"85,156",61
1,Canada,L02BB,Antiandrogens,Total,Total,"46,305.69",0.3,0.1,"17,084",62
1,Canada,N02BA,Salicylic acid and derivatives,Total,Total,"46,259.04",0.3,4.5,"551,447",63
1,Canada,N04BA,Dopa and dopa derivatives,Total,Total,"44,578.67",0.3,0.6,"79,346",64
1,Canada,A10BB,Sulfonylureas,Total,Total,"44,510.37",0.3,3.9,"475,362",65
1,Canada,R03DX,Other systemic drugs for obstructive airway diseases,Total,Total,"44,254.95",0.3,0.0,"2,987",66
1,Canada,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,Total,Total,"42,716.93",0.3,0.1,"12,614",67
1,Canada,N06AA,Non-selective monoamine reuptake inhibitors,Total,Total,"40,384.58",0.3,3.5,"433,060",68
1,Canada,J05AX,Other antivirals,Total,Total,"39,548.41",0.3,0.1,"6,527",69
1,Canada,R01AD,Corticosteroids,Total,Total,"38,510.20",0.3,7.0,"861,180",70
1,Canada,L03AX,Other immunostimulants,Total,Total,"38,246.98",0.3,0.0,"3,588",71
1,Canada,A16AB,Enzymes,Total,Total,"37,842.03",0.3,0.0,75,72
1,Canada,N07BA,Drugs used in nicotine dependence,Total,Total,"37,715.54",0.3,1.9,"237,344",73
1,Canada,G03CA,"Natural and semisynthetic estrogens, plain",Total,Total,"37,629.26",0.3,3.0,"372,169",74
1,Canada,L01XC,Monoclonal antibodies,Total,Total,"36,923.89",0.3,0.0,"3,395",75
1,Canada,G04CB,Testosterone-5-alpha reductase inhibitors,Total,Total,"35,766.26",0.3,2.0,"249,815",76
1,Canada,A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",Total,Total,"35,558.39",0.3,0.5,"58,798",77
1,Canada,J05AE,Protease inhibitors,Total,Total,"35,462.70",0.3,0.0,"5,273",78
1,Canada,N03AE,Benzodiazepine derivatives,Total,Total,"34,921.30",0.3,2.9,"352,905",79
1,Canada,V06DB,"Fats/carbohydrates/proteins/minerals/vitamins, combinations",Total,Total,"34,853.95",0.3,0.2,"22,390",80
1,Canada,N02BE,Anilides,Total,Total,"34,041.04",0.3,7.0,"854,863",81
1,Canada,A12AX,"Calcium, combinations with vitamin D and/or other drugs",Total,Total,"33,437.34",0.2,2.8,"340,294",82
1,Canada,R03AL,"Adrenergics in combination with anticholinergics, including triple combinations with corticosteroids",Total,Total,"32,328.74",0.2,0.7,"81,565",83
1,Canada,N03AG,Fatty acid derivatives,Total,Total,"31,073.47",0.2,0.8,"97,648",84
1,Canada,A02BA,H2-receptor antagonists,Total,Total,"30,774.17",0.2,3.5,"426,124",85
1,Canada,C10AX,Other lipid-modifying agents,Total,Total,"30,533.32",0.2,1.9,"227,894",86
1,Canada,A04AD,Other antiemetics,Total,Total,"30,524.87",0.2,0.4,"52,232",87
1,Canada,C01DA,Organic nitrates,Total,Total,"29,816.00",0.2,3.1,"386,982",88
1,Canada,M01AE,Propionic acid derivatives,Total,Total,"28,224.30",0.2,9.8,"1,209,312",89
1,Canada,A10AC,"Insulins and analogues for injection, intermediate-acting",Total,Total,"27,762.71",0.2,0.8,"95,125",90
1,Canada,C02KX,Antihypertensives for pulmonary arterial hypertension,Total,Total,"27,167.92",0.2,0.0,"1,286",91
1,Canada,N02AB,Phenylpiperidine derivatives,Total,Total,"26,933.61",0.2,0.3,"42,247",92
1,Canada,M03BX,Other centrally acting agents,Total,Total,"26,874.15",0.2,3.8,"467,000",93
1,Canada,D07AC,"Corticosteroids, potent (group III)",Total,Total,"26,866.44",0.2,8.6,"1,052,812",94
1,Canada,H02AB,Glucocorticoids,Total,Total,"25,885.46",0.2,8.6,"1,062,005",95
1,Canada,B01AA,Vitamin K antagonists,Total,Total,"25,352.24",0.2,2.1,"256,166",96
1,Canada,B03AA,"Iron bivalent, oral preparations",Total,Total,"25,072.36",0.2,3.3,"405,800",97
1,Canada,C03AA,"Thiazides, plain",Total,Total,"25,011.01",0.2,6.3,"769,060",98
1,Canada,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia,Total,Total,"23,344.60",0.2,0.3,"35,006",99
1,Canada,J01CA,Penicillins with extended spectrum,Total,Total,"22,932.60",0.2,14.9,"1,828,553",100
1,Canada,L04AB,Tumour necrosis factor alpha (TNF-a) inhibitors,Total,M,"534,790.00",8.1,0.5,"25,974",1
1,Canada,J05AP,Antivirals for treatment of HCV infections,Total,M,"430,018.10",6.5,0.1,"7,661",2
1,Canada,S01LA,Antineovascularization agents,Total,M,"259,900.60",3.9,0.5,"28,863",3
1,Canada,N05AX,Other antipsychotics,Total,M,"193,798.60",2.9,2.4,"130,311",4
1,Canada,C10AA,HMG-CoA reductase inhibitors,Total,M,"192,767.50",2.9,34.0,"1,857,773",5
1,Canada,L01XE,Protein kinase inhibitors,Total,M,"173,159.20",2.6,0.1,"5,453",6
1,Canada,L04AX,Other immunosuppressants,Total,M,"150,622.10",2.3,0.3,"14,861",7
1,Canada,J05AR,"Antivirals for treatment of HIV infections, combinations",Total,M,"145,805.30",2.2,0.3,"16,644",8
1,Canada,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excluding anticholinergics",Total,M,"137,019.20",2.1,4.3,"237,337",9
1,Canada,B01AF,Direct factor Xa inhibitors,Total,M,"136,902.10",2.1,3.4,"187,069",10
1,Canada,C09AA,"ACE inhibitors, plain",Total,M,"132,053.30",2.0,18.1,"988,793",11
1,Canada,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",Total,M,"122,351.50",1.9,4.4,"242,892",12
1,Canada,A02BC,Proton pump inhibitors,Total,M,"115,153.90",1.7,19.7,"1,075,972",13
1,Canada,A10AE,"Insulins and analogues for injection, long-acting",Total,M,"109,835.00",1.7,2.6,"140,027",14
1,Canada,A10BH,Dipeptidyl peptidase-4 (DPP-4) inhibitors,Total,M,"105,807.90",1.6,2.5,"135,559",15
1,Canada,N07BC,Drugs used in opioid dependence,Total,M,"103,550.40",1.6,1.0,"56,517",16
1,Canada,A10BD,Combinations of oral blood glucose–lowering drugs,Total,M,"99,946.74",1.5,2.2,"121,437",17
1,Canada,L04AA,Selective immunosuppressants,Total,M,"99,286.25",1.5,0.3,"17,065",18
1,Canada,N03AX,Other antiepileptics,Total,M,"91,862.44",1.4,6.2,"338,366",19
1,Canada,N02AA,Natural opium alkaloids,Total,M,"87,905.79",1.3,6.1,"335,886",20
1,Canada,L02AE,Gonadotropin-releasing hormone analogues,Total,M,"86,708.94",1.3,0.5,"27,187",21
1,Canada,C08CA,Dihydropyridine derivatives,Total,M,"82,906.45",1.3,13.1,"718,207",22
1,Canada,R03BB,Anticholinergics,Total,M,"74,706.66",1.1,4.2,"231,212",23
1,Canada,N06AX,Other antidepressants,Total,M,"69,336.27",1.1,7.9,"433,984",24
1,Canada,N06BA,Centrally acting sympathomimetics,Total,M,"69,158.33",1.1,2.4,"132,565",25
1,Canada,N06AB,Selective serotonin reuptake inhibitors,Total,M,"63,932.95",1.0,8.2,"445,857",26
1,Canada,A10BK,Sodium–glucose co-transporter 2 (SGLT2) inhibitors,Total,M,"60,683.80",0.9,1.6,"88,296",27
1,Canada,G04CA,Alpha-adrenoreceptor antagonists,Total,M,"60,580.55",0.9,10.8,"591,413",28
1,Canada,L02BX,Other hormone antagonists and related agents,Total,M,"59,493.90",0.9,0.1,"3,865",29
1,Canada,C07AB,"Beta-blocking agents, selective",Total,M,"55,463.75",0.8,14.6,"799,704",30
1,Canada,L04AC,Interleukin inhibitors,Total,M,"54,266.64",0.8,0.1,"3,444",31
1,Canada,A10AB,"Insulins and analogues for injection, fast-acting",Total,M,"52,377.30",0.8,2.1,"117,149",32
1,Canada,C09CA,"Angiotensin II antagonists, plain",Total,M,"50,215.03",0.8,8.4,"457,183",33
1,Canada,L02BB,Antiandrogens,Total,M,"46,280.27",0.7,0.3,"17,025",34
1,Canada,B01AC,"Platelet aggregation inhibitors, excluding heparin",Total,M,"43,375.64",0.7,4.1,"224,227",35
1,Canada,B01AB,Heparin group,Total,M,"42,338.86",0.6,0.6,"34,263",36
1,Canada,R03BA,Glucocorticoids,Total,M,"42,018.08",0.6,5.5,"300,057",37
1,Canada,B03XA,Other antianemic preparations,Total,M,"41,746.81",0.6,0.2,"8,831",38
1,Canada,A10BA,Biguanides,Total,M,"41,530.57",0.6,11.5,"627,842",39
1,Canada,G04CB,Testosterone-5-alpha reductase inhibitors,Total,M,"35,661.24",0.5,4.5,"248,577",40
1,Canada,L04AD,Calcineurin inhibitors,Total,M,"34,535.03",0.5,0.2,"11,118",41
1,Canada,C09BA,ACE inhibitors and diuretics,Total,M,"31,504.73",0.5,3.0,"163,285",42
1,Canada,H01CB,Somatostatin and analogues,Total,M,"31,043.48",0.5,0.0,"1,941",43
1,Canada,J05AX,Other antivirals,Total,M,"30,522.95",0.5,0.1,"4,820",44
1,Canada,B01AE,Direct thrombin inhibitors,Total,M,"29,292.96",0.4,0.6,"31,265",45
1,Canada,L03AA,Colony-stimulating factors,Total,M,"29,004.38",0.4,0.1,"5,430",46
1,Canada,R03AC,Selective beta-2-adrenoreceptor agonists,Total,M,"28,364.94",0.4,12.3,"670,594",47
1,Canada,J05AF,Nucleoside and nucleotide reverse transcriptase inhibitors,Total,M,"27,888.54",0.4,0.1,"8,155",48
1,Canada,J05AE,Protease inhibitors,Total,M,"26,805.95",0.4,0.1,"3,858",49
1,Canada,N04BA,Dopa and dopa derivatives,Total,M,"25,565.31",0.4,0.8,"43,368",50
1,Canada,N02AJ,Opioids in combination with non-opioid analgesics,Total,M,"25,212.42",0.4,10.7,"583,076",51
1,Canada,N05BA,Benzodiazepine derivatives,Total,M,"24,828.11",0.4,7.2,"394,574",52
1,Canada,S01ED,Beta-blocking agents,Total,M,"23,970.51",0.4,2.3,"128,104",53
1,Canada,S01EE,Prostaglandin analogues,Total,M,"23,962.00",0.4,2.4,"130,822",54
1,Canada,N02BA,Salicylic acid and derivatives,Total,M,"23,761.17",0.4,5.5,"299,650",55
1,Canada,H03AA,Thyroid hormones,Total,M,"23,443.65",0.4,6.7,"364,686",56
1,Canada,A10BB,Sulfonylureas,Total,M,"23,258.85",0.4,4.8,"263,604",57
1,Canada,C09DA,Angiotensin II antagonists and diuretics,Total,M,"22,826.81",0.3,3.8,"205,215",58
1,Canada,A16AB,Enzymes,Total,M,"22,819.39",0.3,0.0,43,59
1,Canada,C08DB,Benzothiazepine derivatives,Total,M,"22,683.05",0.3,1.8,"100,538",60
1,Canada,A07EC,Aminosalicylic acid and similar agents,Total,M,"22,134.95",0.3,0.7,"37,903",61
1,Canada,C03CA,"Sulfonamides, plain",Total,M,"21,566.06",0.3,5.2,"282,008",62
1,Canada,G04BD,Drugs for urinary frequency and incontinence,Total,M,"20,724.93",0.3,1.5,"79,603",63
1,Canada,V06DB,"Fats/carbohydrates/proteins/minerals/vitamins, combinations",Total,M,"20,299.71",0.3,0.2,"12,451",64
1,Canada,N06DA,Anticholinesterases,Total,M,"19,887.24",0.3,1.0,"53,788",65
1,Canada,N07BA,Drugs used in nicotine dependence,Total,M,"19,190.93",0.3,2.2,"121,044",66
1,Canada,M03AX,"Other muscle relaxants, peripherally acting agents",Total,M,"18,274.36",0.3,0.1,"8,006",67
1,Canada,R03DX,Other systemic drugs for obstructive airway diseases,Total,M,"18,143.94",0.3,0.0,"1,144",68
1,Canada,A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",Total,M,"17,955.53",0.3,0.5,"29,428",69
1,Canada,A11CC,Vitamin D and analogues,Total,M,"17,813.32",0.3,3.5,"194,055",70
1,Canada,R03AL,"Adrenergics in combination with anticholinergics, including triple combinations with corticosteroids",Total,M,"17,456.02",0.3,0.8,"42,245",71
1,Canada,G03BA,3-oxoandrosten (4) derivatives,Total,M,"17,446.67",0.3,0.8,"43,103",72
1,Canada,N03AG,Fatty acid derivatives,Total,M,"17,117.33",0.3,0.9,"50,300",73
1,Canada,M05BA,Bisphosphonates,Total,M,"16,887.88",0.3,1.5,"80,202",74
1,Canada,R01AD,Corticosteroids,Total,M,"16,463.16",0.3,6.4,"349,289",75
1,Canada,C10AX,Other lipid-modifying agents,Total,M,"16,191.95",0.2,2.3,"125,528",76
1,Canada,N07XX,Other nervous system drugs,Total,M,"16,183.51",0.2,0.0,"1,946",77
1,Canada,M04AA,Preparations inhibiting uric acid production,Total,M,"14,925.16",0.2,4.2,"230,850",78
1,Canada,N03AE,Benzodiazepine derivatives,Total,M,"14,677.18",0.2,2.4,"131,160",79
1,Canada,A10AC,"Insulins and analogues for injection, intermediate-acting",Total,M,"14,391.96",0.2,0.9,"48,674",80
1,Canada,C01DA,Organic nitrates,Total,M,"14,143.66",0.2,3.9,"211,716",81
1,Canada,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia,Total,M,"13,915.17",0.2,0.4,"20,665",82
1,Canada,N06AA,Non-selective monoamine reuptake inhibitors,Total,M,"13,770.05",0.2,2.5,"135,320",83
1,Canada,A04AD,Other antiemetics,Total,M,"13,480.82",0.2,0.4,"21,168",84
1,Canada,L03AB,Interferons,Total,M,"13,108.23",0.2,0.0,917,85
1,Canada,D07AC,"Corticosteroids, potent (group III)",Total,M,"12,784.92",0.2,8.5,"463,346",86
1,Canada,A02BA,H2-receptor antagonists,Total,M,"12,513.21",0.2,3.0,"163,020",87
1,Canada,B01AA,Vitamin K antagonists,Total,M,"12,277.04",0.2,2.6,"139,532",88
1,Canada,M01AE,Propionic acid derivatives,Total,M,"12,115.22",0.2,9.5,"522,338",89
1,Canada,N02BE,Anilides,Total,M,"11,634.09",0.2,6.0,"327,815",90
1,Canada,H01AC,Somatropin and somatropin agonists,Total,M,"11,346.06",0.2,0.0,"1,032",91
1,Canada,V03AC,Iron-chelating agents,Total,M,"11,271.60",0.2,0.0,540,92
1,Canada,M03BX,Other centrally acting agents,Total,M,"11,073.88",0.2,3.6,"194,442",93
1,Canada,L03AX,Other immunostimulants,Total,M,"10,648.06",0.2,0.0,942,94
1,Canada,H02AB,Glucocorticoids,Total,M,"10,582.50",0.2,8.3,"451,314",95
1,Canada,M05BX,Other drugs affecting bone structure and mineralization,Total,M,"10,575.19",0.2,0.1,"5,029",96
1,Canada,A09AA,Enzyme preparations,Total,M,"10,570.37",0.2,0.2,"12,138",97
1,Canada,N02AB,Phenylpiperidine derivatives,Total,M,"10,128.68",0.2,0.3,"15,294",98
1,Canada,L01XC,Monoclonal antibodies,Total,M,"10,089.38",0.2,0.0,984,99
1,Canada,J01CA,Penicillins with extended spectrum,Total,M,"10,012.35",0.2,14.8,"811,203",100
1,Canada,L04AB,Tumour necrosis factor alpha (TNF-a) inhibitors,Total,F,"570,418.80",8.2,0.5,"31,763",1
1,Canada,S01LA,Antineovascularization agents,Total,F,"355,267.40",5.1,0.6,"38,187",2
1,Canada,J05AP,Antivirals for treatment of HCV infections,Total,F,"243,030.40",3.5,0.1,"4,347",3
1,Canada,L04AA,Selective immunosuppressants,Total,F,"199,307.60",2.9,0.4,"27,532",4
1,Canada,C10AA,HMG-CoA reductase inhibitors,Total,F,"187,729.20",2.7,23.8,"1,617,507",5
1,Canada,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excluding anticholinergics",Total,F,"174,587.80",2.5,4.7,"320,356",6
1,Canada,A02BC,Proton pump inhibitors,Total,F,"172,932.00",2.5,22.1,"1,500,974",7
1,Canada,B01AF,Direct factor Xa inhibitors,Total,F,"135,319.30",2.0,2.7,"185,176",8
1,Canada,N05AX,Other antipsychotics,Total,F,"134,731.40",1.9,2.0,"136,784",9
1,Canada,L01XE,Protein kinase inhibitors,Total,F,"132,592.10",1.9,0.1,"4,590",10
1,Canada,N06AX,Other antidepressants,Total,F,"126,988.50",1.8,11.4,"777,857",11
1,Canada,N03AX,Other antiepileptics,Total,F,"125,381.00",1.8,7.6,"516,626",12
1,Canada,C09AA,"ACE inhibitors, plain",Total,F,"121,236.40",1.8,12.0,"815,985",13
1,Canada,N06AB,Selective serotonin reuptake inhibitors,Total,F,"118,089.90",1.7,13.1,"890,631",14
1,Canada,C08CA,Dihydropyridine derivatives,Total,F,"106,614.90",1.5,12.0,"814,702",15
1,Canada,L04AX,Other immunosuppressants,Total,F,"103,934.90",1.5,0.3,"18,635",16
1,Canada,A10BH,Dipeptidyl peptidase-4 (DPP-4) inhibitors,Total,F,"100,776.70",1.5,1.9,"125,862",17
1,Canada,N02AA,Natural opium alkaloids,Total,F,"98,763.02",1.4,6.5,"440,798",18
1,Canada,A10AE,"Insulins and analogues for injection, long-acting",Total,F,"91,370.00",1.3,1.8,"122,296",19
1,Canada,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",Total,F,"91,287.36",1.3,4.2,"283,135",20
1,Canada,M05BX,Other drugs affecting bone structure and mineralization,Total,F,"83,291.69",1.2,1.9,"130,127",21
1,Canada,R03BB,Anticholinergics,Total,F,"78,879.44",1.1,3.7,"249,291",22
1,Canada,C09CA,"Angiotensin II antagonists, plain",Total,F,"76,902.68",1.1,9.1,"617,778",23
1,Canada,N07BC,Drugs used in opioid dependence,Total,F,"76,585.14",1.1,0.6,"40,898",24
1,Canada,A10BD,Combinations of oral blood glucose–lowering drugs,Total,F,"75,706.98",1.1,1.3,"90,966",25
1,Canada,H03AA,Thyroid hormones,Total,F,"70,875.16",1.0,16.8,"1,139,552",26
1,Canada,M05BA,Bisphosphonates,Total,F,"68,101.65",1.0,5.5,"374,608",27
1,Canada,L04AC,Interleukin inhibitors,Total,F,"65,905.67",1.0,0.1,"4,722",28
1,Canada,C07AB,"Beta-blocking agents, selective",Total,F,"62,713.26",0.9,11.2,"758,145",29
1,Canada,R03BA,Glucocorticoids,Total,F,"61,236.00",0.9,6.3,"426,528",30
1,Canada,L03AA,Colony-stimulating factors,Total,F,"48,052.29",0.7,0.1,"9,381",31
1,Canada,B01AB,Heparin group,Total,F,"46,163.12",0.7,0.6,"43,114",32
1,Canada,A10BK,Sodium–glucose co-transporter 2 (SGLT2) inhibitors,Total,F,"45,140.61",0.7,1.0,"66,252",33
1,Canada,J05AR,"Antivirals for treatment of HIV infections, combinations",Total,F,"43,997.60",0.6,0.1,"5,326",34
1,Canada,A10AB,"Insulins and analogues for injection, fast-acting",Total,F,"42,344.19",0.6,1.5,"104,831",35
1,Canada,N06BA,Centrally acting sympathomimetics,Total,F,"41,630.01",0.6,1.3,"91,190",36
1,Canada,N05BA,Benzodiazepine derivatives,Total,F,"41,608.01",0.6,11.2,"760,505",37
1,Canada,G04BD,Drugs for urinary frequency and incontinence,Total,F,"41,189.09",0.6,2.4,"166,342",38
1,Canada,A10BA,Biguanides,Total,F,"41,014.55",0.6,8.2,"553,707",39
1,Canada,B01AC,"Platelet aggregation inhibitors, excluding heparin",Total,F,"38,153.59",0.6,2.4,"166,223",40
1,Canada,L03AB,Interferons,Total,F,"37,567.80",0.5,0.0,"2,489",41
1,Canada,B03XA,Other antianemic preparations,Total,F,"37,183.71",0.5,0.1,"8,336",42
1,Canada,G03CA,"Natural and semisynthetic estrogens, plain",Total,F,"37,140.34",0.5,5.4,"369,443",43
1,Canada,A11CC,Vitamin D and analogues,Total,F,"36,125.16",0.5,7.1,"485,543",44
1,Canada,N06DA,Anticholinesterases,Total,F,"35,638.08",0.5,1.3,"87,424",45
1,Canada,R03AC,Selective beta-2-adrenoreceptor agonists,Total,F,"35,626.46",0.5,13.3,"905,680",46
1,Canada,C08DB,Benzothiazepine derivatives,Total,F,"33,474.84",0.5,2.0,"138,588",47
1,Canada,S01EE,Prostaglandin analogues,Total,F,"33,215.27",0.5,2.5,"168,059",48
1,Canada,C09DA,Angiotensin II antagonists and diuretics,Total,F,"32,608.03",0.5,3.9,"268,340",49
1,Canada,N07XX,Other nervous system drugs,Total,F,"32,285.18",0.5,0.0,"3,121",50
1,Canada,N02AJ,Opioids in combination with non-opioid analgesics,Total,F,"31,640.20",0.5,10.0,"676,995",51
1,Canada,M03AX,"Other muscle relaxants, peripherally acting agents",Total,F,"30,730.76",0.4,0.2,"16,246",52
1,Canada,H01CB,Somatostatin and analogues,Total,F,"30,511.83",0.4,0.0,"2,364",53
1,Canada,S01ED,Beta-blocking agents,Total,F,"30,102.51",0.4,2.2,"150,541",54
1,Canada,C03CA,"Sulfonamides, plain",Total,F,"29,939.73",0.4,5.2,"351,559",55
1,Canada,C09BA,ACE inhibitors and diuretics,Total,F,"29,501.28",0.4,2.2,"148,046",56
1,Canada,L03AX,Other immunostimulants,Total,F,"27,598.92",0.4,0.0,"2,646",57
1,Canada,A12AX,"Calcium, combinations with vitamin D and/or other drugs",Total,F,"27,439.70",0.4,4.2,"283,610",58
1,Canada,L01XC,Monoclonal antibodies,Total,F,"26,834.51",0.4,0.0,"2,411",59
1,Canada,N06AA,Non-selective monoamine reuptake inhibitors,Total,F,"26,594.95",0.4,4.4,"297,369",60
1,Canada,R03DX,Other systemic drugs for obstructive airway diseases,Total,F,"26,111.01",0.4,0.0,"1,843",61
