Sort code,Jurisdiction,Drug class code,Drug class,Age group,Sex , TPS ($ 000) ,"Proportion 
of TPS (%)","Rate of 
use (%)", Number of active beneficiaries ,Rank
1,Canada,S01ED,Beta-blocking agents,Total,Total,"57,171.33",0.4,2.3,"295,935",59
1,Canada,R03AC,Selective beta-2-adrenoreceptor agonists,Total,Total,"56,980.83",0.4,11.3,"1,434,507",60
1,Canada,L01EA,BCR-ABL tyrosine kinase inhibitors,Total,Total,"55,670.42",0.4,0.0,"1,797",61
1,Canada,A07EC,Aminosalicylic acid and similar agents,Total,Total,"54,055.37",0.4,0.7,"88,856",62
1,Canada,A16AB,Enzymes,Total,Total,"53,869.91",0.4,0.0,108,63
1,Canada,C08DB,Benzothiazepine derivatives,Total,Total,"52,253.48",0.3,1.7,"220,166",64
1,Canada,M03AX,"Other muscle relaxants, peripherally acting agents",Total,Total,"50,867.88",0.3,0.2,"27,926",65
1,Canada,N04BA,Dopa and dopa derivatives,Total,Total,"50,405.81",0.3,0.6,"81,162",66
1,Canada,L01XC,Monoclonal antibodies,Total,Total,"45,993.33",0.3,0.0,"4,938",67
1,Canada,C03CA,"Sulfonamides, plain",Total,Total,"42,959.15",0.3,4.9,"625,860",68
1,Canada,N06AA,Non-selective monoamine reuptake inhibitors,Total,Total,"41,654.39",0.3,3.2,"405,961",69
1,Canada,G03CA,"Natural and semisynthetic estrogens, plain",Total,Total,"41,485.22",0.3,2.9,"363,903",70
1,Canada,N02AJ,Opioids in combination with non-opioid analgesics,Total,Total,"40,410.09",0.3,7.3,"924,496",71
1,Canada,N02BA,Salicylic acid and derivatives,Total,Total,"40,199.90",0.3,3.6,"462,021",72
1,Canada,V06DB,"Fats/carbohydrates/proteins/minerals/vitamins, combinations",Total,Total,"39,592.79",0.3,0.2,"23,503",73
1,Canada,C09BA,ACE inhibitors and diuretics,Total,Total,"39,131.24",0.3,2.4,"306,370",74
1,Canada,A10BB,Sulfonylureas,Total,Total,"38,316.02",0.3,3.5,"441,531",75
1,Canada,C09DA,Angiotensin II receptor blockers (ARBs) and diuretics,Total,Total,"37,358.21",0.2,3.2,"405,415",76
1,Canada,L03AB,Interferons,Total,Total,"37,184.12",0.2,0.0,"2,340",77
1,Canada,R01AD,Corticosteroids,Total,Total,"36,747.42",0.2,5.8,"737,507",78
1,Canada,N06DA,Anticholinesterases,Total,Total,"36,429.57",0.2,1.0,"121,746",79
1,Canada,N02BE,Anilides,Total,Total,"35,845.39",0.2,6.4,"813,690",80
1,Canada,C02KX,Antihypertensives for pulmonary arterial hypertension,Total,Total,"34,215.22",0.2,0.0,"1,524",81
1,Canada,G04CB,Testosterone-5-alpha reductase inhibitors,Total,Total,"33,716.68",0.2,2.2,"274,362",82
1,Canada,B01AE,Direct thrombin inhibitors,Total,Total,"32,573.70",0.2,0.3,"37,487",83
1,Canada,M09AX,Other drugs for disorders of the musculoskeletal system,Total,Total,"32,553.57",0.2,0.0,88,84
1,Canada,N03AG,Fatty acid derivatives,Total,Total,"32,408.82",0.2,0.7,"94,074",85
1,Canada,A12AX,"Calcium, combinations with vitamin D and/or other drugs",Total,Total,"31,311.87",0.2,2.5,"316,286",86
1,Canada,N03AE,Benzodiazepine derivatives,Total,Total,"30,492.35",0.2,2.4,"307,963",87
1,Canada,A04AD,Other antiemetics,Total,Total,"29,714.04",0.2,0.4,"47,698",88
1,Canada,L03AX,Other immunostimulants,Total,Total,"29,320.71",0.2,0.0,"2,891",89
1,Canada,B03AA,"Iron bivalent, oral preparations",Total,Total,"28,120.55",0.2,3.2,"410,613",90
1,Canada,R07AX,Other respiratory system products,Total,Total,"27,753.69",0.2,0.0,129,91
1,Canada,J05AJ,Integrase inhibitors,Total,Total,"27,078.16",0.2,0.0,"5,030",92
1,Canada,L01ED,Anaplastic lymphoma kinase (ALK) inhibitors,Total,Total,"26,656.92",0.2,0.0,347,93
1,Canada,N07BA,Drugs used in nicotine dependence,Total,Total,"25,189.53",0.2,1.5,"185,481",94
1,Canada,D07AC,"Corticosteroids, potent (group III)",Total,Total,"25,095.12",0.2,8.1,"1,022,035",95
1,Canada,N05AE,Indole derivatives,Total,Total,"24,997.34",0.2,0.1,"17,764",96
1,Canada,H02AB,Glucocorticoids,Total,Total,"24,778.70",0.2,7.2,"918,357",97
1,Canada,A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",Total,Total,"24,289.79",0.2,0.3,"38,808",98
1,Canada,C01DA,Organic nitrates,Total,Total,"24,240.00",0.2,2.5,"317,733",99
1,Canada,A09AA,Enzyme preparations,Total,Total,"23,729.33",0.2,0.2,"28,089",100
1,Canada,L04AB,Tumour necrosis factor alpha (TNF-alpha) inhibitors,Total,M,"595,202.71",8.0,0.5,"29,389",1
1,Canada,S01LA,Antineovascularization agents,Total,M,"322,711.51",4.3,0.6,"35,299",2
1,Canada,L04AX,Other immunosuppressants,Total,M,"243,808.34",3.3,0.3,"17,615",3
1,Canada,J05AP,Antivirals for treatment of HCV infections,Total,M,"242,535.41",3.3,0.1,"5,093",4
1,Canada,B01AF,Direct factor Xa inhibitors,Total,M,"237,510.99",3.2,5.3,"298,227",5
1,Canada,N05AX,Other antipsychotics,Total,M,"213,885.53",2.9,2.5,"143,220",6
1,Canada,L04AA,Selective immunosuppressants,Total,M,"179,065.49",2.4,0.4,"23,781",7
1,Canada,J05AR,"Antivirals for treatment of HIV infections, combinations",Total,M,"178,187.68",2.4,0.4,"20,271",8
1,Canada,A10BK,Sodium–glucose co-transporter 2 (SGLT2) inhibitors,Total,M,"157,864.37",2.1,3.7,"208,715",9
1,Canada,C10AA,HMG-CoA reductase inhibitors,Total,M,"156,964.23",2.1,35.5,"2,016,046",10
1,Canada,A10BD,Combinations of oral blood glucose–lowering drugs,Total,M,"146,243.60",2.0,2.9,"165,017",11
1,Canada,L01EL,Bruton's tyrosine kinase (BTK) inhibitors,Total,M,"133,441.81",1.8,0.0,"1,872",12
1,Canada,A10AE,"Insulins and analogues for injection, long-acting",Total,M,"133,035.71",1.8,3.0,"169,250",13
1,Canada,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excluding anticholinergics",Total,M,"131,118.01",1.8,4.2,"236,663",14
1,Canada,L04AC,Interleukin inhibitors,Total,M,"124,318.64",1.7,0.1,"7,933",15
1,Canada,A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors,Total,M,"121,198.88",1.6,2.6,"146,400",16
1,Canada,A02BC,Proton pump inhibitors,Total,M,"105,053.45",1.4,20.1,"1,142,190",17
1,Canada,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",Total,M,"102,522.65",1.4,4.5,"255,367",18
1,Canada,N07BC,Drugs used in opioid dependence,Total,M,"99,430.58",1.3,1.0,"57,448",19
1,Canada,L02AE,Gonadotropin-releasing hormone analogues,Total,M,"94,734.55",1.3,0.5,"29,014",20
1,Canada,N03AX,Other antiepileptics,Total,M,"84,749.17",1.1,6.7,"381,234",21
1,Canada,A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,Total,M,"84,723.08",1.1,0.9,"52,357",22
1,Canada,N02AA,Natural opium alkaloids,Total,M,"82,339.95",1.1,5.8,"327,016",23
1,Canada,N06BA,Centrally acting sympathomimetics,Total,M,"81,153.37",1.1,2.7,"153,589",24
1,Canada,L02BX,Other hormone antagonists and related agents,Total,M,**,**,**,**,25
1,Canada,L02BB,Antiandrogens,Total,M,"73,536.81",1.0,0.3,"16,005",26
1,Canada,R03BB,Anticholinergics,Total,M,"71,483.59",1.0,3.8,"214,754",27
1,Canada,C09AA,"ACE inhibitors, plain",Total,M,"71,089.84",1.0,17.3,"984,156",28
1,Canada,C08CA,Dihydropyridine derivatives,Total,M,"70,848.57",1.0,14.4,"817,667",29
1,Canada,N06AX,Other antidepressants,Total,M,"69,067.04",0.9,8.5,"483,469",30
1,Canada,G04CA,Alpha-adrenoreceptor antagonists,Total,M,"68,822.81",0.9,11.8,"673,015",31
1,Canada,L01EX,Other protein kinase inhibitors,Total,M,"66,337.13",0.9,0.0,"2,662",32
1,Canada,N06AB,Selective serotonin reuptake inhibitors,Total,M,"59,915.77",0.8,8.7,"491,361",33
1,Canada,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations",Total,M,"54,626.70",0.7,0.5,"26,207",34
1,Canada,C07AB,"Beta-blocking agents, selective",Total,M,"54,495.86",0.7,14.4,"820,754",35
1,Canada,A10AB,"Insulins and analogues for injection, fast-acting",Total,M,"54,472.44",0.7,2.1,"117,475",36
1,Canada,C09CA,"Angiotensin II receptor blockers (ARBs), plain",Total,M,"51,269.41",0.7,8.9,"508,393",37
1,Canada,R03DX,Other systemic drugs for obstructive airway diseases,Total,M,"50,612.05",0.7,0.1,"2,958",38
1,Canada,B03XA,Other antianemic preparations,Total,M,"47,434.32",0.6,0.2,"8,857",39
1,Canada,L03AA,Colony-stimulating factors,Total,M,"43,395.76",0.6,0.1,"8,067",40
1,Canada,R03AL,"Adrenergics in combination with anticholinergics, including triple combinations with corticosteroids",Total,M,"42,824.58",0.6,1.3,"73,618",41
1,Canada,R03BA,Glucocorticoids,Total,M,"41,385.95",0.6,4.8,"269,997",42
1,Canada,B01AC,"Platelet aggregation inhibitors, excluding heparin",Total,M,"40,067.57",0.5,3.9,"220,103",43
1,Canada,H01CB,Somatostatin and analogues,Total,M,"38,269.14",0.5,0.0,"2,294",44
1,Canada,L04AD,Calcineurin inhibitors,Total,M,"37,793.65",0.5,0.2,"11,852",45
1,Canada,A10BA,Biguanides,Total,M,"35,407.79",0.5,11.2,"635,358",46
1,Canada,A16AB,Enzymes,Total,M,"35,162.04",0.5,0.0,67,47
1,Canada,G04CB,Testosterone-5-alpha reductase inhibitors,Total,M,"33,579.04",0.5,4.8,"272,667",48
1,Canada,B01AB,Heparin group,Total,M,"31,868.30",0.4,0.5,"25,975",49
1,Canada,C10AX,Other lipid-modifying agents,Total,M,"31,743.10",0.4,2.7,"150,961",50
1,Canada,L01EA,BCR-ABL tyrosine kinase inhibitors,Total,M,"30,697.94",0.4,0.0,964,51
1,Canada,N04BA,Dopa and dopa derivatives,Total,M,"29,967.91",0.4,0.8,"45,617",52
1,Canada,L01EJ,Janus-associated kinase (JAK) inhibitors,Total,M,"29,298.02",0.4,0.0,584,53
1,Canada,G04BD,Drugs for urinary frequency and incontinence,Total,M,"29,094.56",0.4,1.7,"94,372",54
1,Canada,S01EE,Prostaglandin analogues,Total,M,"26,535.71",0.4,2.4,"136,677",55
1,Canada,A07EC,Aminosalicylic acid and similar agents,Total,M,"26,239.99",0.4,0.7,"39,837",56
1,Canada,S01ED,Beta-blocking agents,Total,M,"25,840.61",0.3,2.5,"139,583",57
1,Canada,R03AC,Selective beta-2-adrenoreceptor agonists,Total,M,"25,627.33",0.3,10.9,"618,166",58
1,Canada,L01EB,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors,Total,M,"25,091.57",0.3,0.0,474,59
1,Canada,H03AA,Thyroid hormones,Total,M,"24,628.49",0.3,6.6,"377,702",60
1,Canada,V06DB,"Fats/carbohydrates/proteins/minerals/vitamins, combinations",Total,M,"23,392.59",0.3,0.2,"13,091",61
1,Canada,N05BA,Benzodiazepine derivatives,Total,M,"22,298.56",0.3,5.9,"332,870",62
1,Canada,N02BA,Salicylic acid and derivatives,Total,M,"21,213.14",0.3,4.5,"257,194",63
1,Canada,C08DB,Benzothiazepine derivatives,Total,M,"21,187.40",0.3,1.6,"92,395",64
1,Canada,A11CC,Vitamin D and analogues,Total,M,"20,916.68",0.3,4.1,"233,670",65
1,Canada,C09BA,ACE inhibitors and diuretics,Total,M,"20,474.72",0.3,2.9,"164,432",66
1,Canada,A10BB,Sulfonylureas,Total,M,"20,468.70",0.3,4.4,"249,816",67
1,Canada,J05AJ,Integrase inhibitors,Total,M,"20,320.57",0.3,0.1,"3,492",68
1,Canada,M05BX,Other drugs affecting bone structure and mineralization,Total,M,"19,149.60",0.3,0.3,"17,663",69
1,Canada,C03CA,"Sulfonamides, plain",Total,M,"18,975.63",0.3,5.0,"285,187",70
1,Canada,B01AE,Direct thrombin inhibitors,Total,M,"18,805.80",0.3,0.4,"22,306",71
1,Canada,N03AG,Fatty acid derivatives,Total,M,"18,550.93",0.2,0.9,"49,953",72
1,Canada,N02AJ,Opioids in combination with non-opioid analgesics,Total,M,"18,236.10",0.2,7.5,"426,451",73
1,Canada,M03AX,"Other muscle relaxants, peripherally acting agents",Total,M,"17,794.44",0.2,0.2,"8,691",74
1,Canada,M09AX,Other drugs for disorders of the musculoskeletal system,Total,M,"17,681.04",0.2,0.0,50,75
1,Canada,G03BA,3-oxoandrosten (4) derivatives,Total,M,"16,338.20",0.2,0.8,"43,677",76
1,Canada,M05BA,Bisphosphonates,Total,M,"16,316.08",0.2,1.4,"82,001",77
1,Canada,R01AD,Corticosteroids,Total,M,"16,218.44",0.2,5.4,"307,754",78
1,Canada,M04AA,Preparations inhibiting uric acid production,Total,M,"16,016.00",0.2,4.3,"246,472",79
1,Canada,C09DA,Angiotensin II receptor blockers (ARBs) and diuretics,Total,M,"15,516.97",0.2,3.2,"179,813",80
1,Canada,R07AX,Other respiratory system products,Total,M,"15,301.41",0.2,0.0,69,81
1,Canada,N06AA,Non-selective monoamine reuptake inhibitors,Total,M,"14,533.34",0.2,2.2,"126,669",82
1,Canada,L01XC,Monoclonal antibodies,Total,M,"14,060.75",0.2,0.0,"1,637",83
1,Canada,N06DA,Anticholinesterases,Total,M,"13,593.32",0.2,0.8,"47,445",84
1,Canada,N07BA,Drugs used in nicotine dependence,Total,M,"13,376.31",0.2,1.7,"97,766",85
1,Canada,N03AE,Benzodiazepine derivatives,Total,M,"13,173.80",0.2,2.0,"114,493",86
1,Canada,A09AA,Enzyme preparations,Total,M,"13,010.95",0.2,0.2,"13,014",87
1,Canada,N02BE,Anilides,Total,M,"12,771.17",0.2,5.7,"324,161",88
1,Canada,V03AE,Drugs for treatment of hyperkalemia and hyperphosphatemia,Total,M,"12,601.15",0.2,0.4,"21,203",89
1,Canada,A04AD,Other antiemetics,Total,M,"12,589.50",0.2,0.3,"19,166",90
1,Canada,A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",Total,M,"12,375.42",0.2,0.3,"19,779",91
1,Canada,D07AC,"Corticosteroids, potent (group III)",Total,M,"12,201.64",0.2,8.0,"455,957",92
1,Canada,L01XX,Other antineoplastic agents,Total,M,"12,093.44",0.2,0.1,"5,384",93
1,Canada,V03AC,Iron-chelating agents,Total,M,"12,050.33",0.2,0.0,594,94
1,Canada,C01DA,Organic nitrates,Total,M,"11,945.12",0.2,3.1,"178,465",95
1,Canada,L01ED,Anaplastic lymphoma kinase (ALK) inhibitors,Total,M,"11,651.01",0.2,0.0,147,96
1,Canada,C02AC,Imidazoline receptor agonists,Total,M,"11,315.26",0.2,0.6,"35,589",97
1,Canada,H01AC,Somatropin and somatropin agonists,Total,M,"11,111.72",0.1,0.0,"1,062",98
1,Canada,J05AE,Protease inhibitors,Total,M,"10,931.76",0.1,0.0,"1,968",99
1,Canada,B03AA,"Iron bivalent, oral preparations",Total,M,"10,920.55",0.1,2.7,"152,403",100
1,Canada,L04AB,Tumour necrosis factor alpha (TNF-alpha) inhibitors,Total,F,"617,441.15",8.1,0.5,"34,752",1
1,Canada,S01LA,Antineovascularization agents,Total,F,"428,134.80",5.7,0.6,"45,468",2
1,Canada,L04AA,Selective immunosuppressants,Total,F,"308,519.03",4.1,0.5,"36,761",3
1,Canada,B01AF,Direct factor Xa inhibitors,Total,F,"223,451.53",2.9,3.9,"271,385",4
1,Canada,L04AX,Other immunosuppressants,Total,F,"200,146.63",2.6,0.3,"23,939",5
1,Canada,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excluding anticholinergics",Total,F,"174,340.65",2.3,4.7,"328,611",6
1,Canada,C10AA,HMG-CoA reductase inhibitors,Total,F,"149,037.90",2.0,24.4,"1,708,602",7
1,Canada,A02BC,Proton pump inhibitors,Total,F,"148,663.35",2.0,22.0,"1,544,328",8
1,Canada,L04AC,Interleukin inhibitors,Total,F,"139,474.89",1.8,0.1,"9,597",9
1,Canada,N05AX,Other antipsychotics,Total,F,"128,107.81",1.7,2.2,"151,783",10
1,Canada,L01EF,Cyclin-dependent kinase (CDK) inhibitors,Total,F,"124,420.81",1.6,0.0,"2,924",11
1,Canada,N06AX,Other antidepressants,Total,F,"121,536.15",1.6,12.3,"858,587",12
1,Canada,A10BH,Dipeptidyl peptidase 4 (DPP-4) inhibitors,Total,F,"117,297.58",1.5,1.9,"136,554",13
1,Canada,J05AP,Antivirals for treatment of HCV infections,Total,F,"116,935.04",1.5,0.0,"2,464",14
1,Canada,M05BX,Other drugs affecting bone structure and mineralization,Total,F,"116,641.87",1.5,2.5,"176,384",15
1,Canada,N03AX,Other antiepileptics,Total,F,"111,814.55",1.5,8.1,"564,823",16
1,Canada,A10AE,"Insulins and analogues for injection, long-acting",Total,F,"107,581.11",1.4,2.0,"143,202",17
1,Canada,A10BD,Combinations of oral blood glucose–lowering drugs,Total,F,"106,506.35",1.4,1.7,"117,850",18
1,Canada,A10BK,Sodium–glucose co-transporter 2 (SGLT2) inhibitors,Total,F,"105,423.38",1.4,2.0,"137,496",19
1,Canada,N06AB,Selective serotonin reuptake inhibitors,Total,F,"104,656.72",1.4,13.9,"972,222",20
1,Canada,C08CA,Dihydropyridine derivatives,Total,F,"86,296.11",1.1,12.7,"892,191",21
1,Canada,N02AA,Natural opium alkaloids,Total,F,"81,241.57",1.1,6.0,"419,866",22
1,Canada,R03BB,Anticholinergics,Total,F,"75,826.25",1.0,3.3,"230,113",23
1,Canada,R03DX,Other systemic drugs for obstructive airway diseases,Total,F,"75,416.05",1.0,0.1,"4,719",24
1,Canada,C09CA,"Angiotensin II receptor blockers (ARBs), plain",Total,F,"75,321.95",1.0,9.5,"662,901",25
1,Canada,A10BJ,Glucagon-like peptide-1 (GLP-1) analogues,Total,F,"75,194.90",1.0,0.7,"47,788",26
1,Canada,N05AH,"Diazepines, oxazepines, thiazepines and oxepines",Total,F,"72,366.47",1.0,4.3,"299,587",27
1,Canada,H03AA,Thyroid hormones,Total,F,"70,316.92",0.9,16.4,"1,152,097",28
1,Canada,L01EL,Bruton's tyrosine kinase (BTK) inhibitors,Total,F,"66,006.49",0.9,0.0,931,29
1,Canada,C09AA,"ACE inhibitors, plain",Total,F,"64,358.53",0.8,11.2,"784,635",30
1,Canada,N07BC,Drugs used in opioid dependence,Total,F,"63,953.30",0.8,0.5,"37,229",31
1,Canada,L03AA,Colony-stimulating factors,Total,F,"63,935.09",0.8,0.2,"11,856",32
1,Canada,M05BA,Bisphosphonates,Total,F,"61,899.09",0.8,5.1,"355,468",33
1,Canada,R03BA,Glucocorticoids,Total,F,"57,857.55",0.8,5.2,"366,046",34
1,Canada,C07AB,"Beta-blocking agents, selective",Total,F,"56,584.21",0.7,10.7,"749,713",35
1,Canada,G04BD,Drugs for urinary frequency and incontinence,Total,F,"53,839.47",0.7,2.5,"178,215",36
1,Canada,N06BA,Centrally acting sympathomimetics,Total,F,"53,506.43",0.7,1.6,"113,193",37
1,Canada,L01EB,Epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors,Total,F,"53,165.77",0.7,0.0,889,38
1,Canada,J05AR,"Antivirals for treatment of HIV infections, combinations",Total,F,"49,781.14",0.7,0.1,"5,357",39
1,Canada,A10AB,"Insulins and analogues for injection, fast-acting",Total,F,"42,731.55",0.6,1.5,"102,329",40
1,Canada,B01AC,"Platelet aggregation inhibitors, excluding heparin",Total,F,"41,474.84",0.5,2.1,"147,934",41
1,Canada,G03CA,"Natural and semisynthetic estrogens, plain",Total,F,"40,689.45",0.5,5.1,"359,670",42
1,Canada,A11CC,Vitamin D and analogues,Total,F,"38,879.18",0.5,7.5,"524,281",43
1,Canada,B03XA,Other antianemic preparations,Total,F,"38,416.79",0.5,0.1,"7,608",44
1,Canada,R03AL,"Adrenergics in combination with anticholinergics, including triple combinations with corticosteroids",Total,F,"38,305.76",0.5,1.0,"68,355",45
1,Canada,H01CB,Somatostatin and analogues,Total,F,"37,180.36",0.5,0.0,"2,591",46
1,Canada,S01EE,Prostaglandin analogues,Total,F,"35,698.49",0.5,2.4,"170,157",47
1,Canada,N05BA,Benzodiazepine derivatives,Total,F,"35,241.17",0.5,9.1,"638,241",48
1,Canada,A10BA,Biguanides,Total,F,"33,361.52",0.4,7.7,"536,650",49
1,Canada,B01AB,Heparin group,Total,F,"33,231.24",0.4,0.5,"32,623",50
1,Canada,M03AX,"Other muscle relaxants, peripherally acting agents",Total,F,"33,053.69",0.4,0.3,"19,230",51
1,Canada,L01XC,Monoclonal antibodies,Total,F,"31,932.58",0.4,0.0,"3,301",52
1,Canada,R03AC,Selective beta-2-adrenoreceptor agonists,Total,F,"31,342.01",0.4,11.6,"816,075",53
1,Canada,S01ED,Beta-blocking agents,Total,F,"31,317.78",0.4,2.2,"156,315",54
1,Canada,C08DB,Benzothiazepine derivatives,Total,F,"31,062.30",0.4,1.8,"127,757",55
1,Canada,L01EJ,Janus-associated kinase (JAK) inhibitors,Total,F,"29,254.24",0.4,0.0,550,56
