Year,Forecast Category,Province,Sector,Use of Funds,Current dollars,Current dollars per capita,Constant 1997 dollars,Constant 1997 dollars per capita
2008,..,Newfoundland and Labrador,Provincial Government,Hospitals,933282086,1824,,
2009,..,Newfoundland and Labrador,Provincial Government,Hospitals,1030957651,1995,,
2010,..,Newfoundland and Labrador,Provincial Government,Hospitals,1105290545,2117,,
2011,..,Newfoundland and Labrador,Provincial Government,Hospitals,1154013770,2198,,
2012,..,Newfoundland and Labrador,Provincial Government,Hospitals,1168009937,2219,,
2013,..,Newfoundland and Labrador,Provincial Government,Hospitals,1173705178,2227,,
2014,..,Newfoundland and Labrador,Provincial Government,Hospitals,1198004911,2268,,
2015,..,Newfoundland and Labrador,Provincial Government,Hospitals,1230991937,2331,,
2016,..,Newfoundland and Labrador,Provincial Government,Hospitals,1264319538,2388,,
2017,..,Newfoundland and Labrador,Provincial Government,Hospitals,1259833223,2385,,
2018,..,Newfoundland and Labrador,Provincial Government,Hospitals,1289171628,2453,,
2019,..,Newfoundland and Labrador,Provincial Government,Hospitals,1281222841,2448,,
2020,f,Newfoundland and Labrador,Provincial Government,Hospitals,1254101945,2402,,
2021,f,Newfoundland and Labrador,Provincial Government,Hospitals,1314759242,2529,,
1975,..,Newfoundland and Labrador,Provincial Government,Other Institutions,14188000,25,,
1976,..,Newfoundland and Labrador,Provincial Government,Other Institutions,21226750,38,,
1977,..,Newfoundland and Labrador,Provincial Government,Other Institutions,27116000,48,,
1978,..,Newfoundland and Labrador,Provincial Government,Other Institutions,30837500,54,,
1979,..,Newfoundland and Labrador,Provincial Government,Other Institutions,37234000,65,,
1980,..,Newfoundland and Labrador,Provincial Government,Other Institutions,41060250,72,,
1981,..,Newfoundland and Labrador,Provincial Government,Other Institutions,45777000,80,,
1982,..,Newfoundland and Labrador,Provincial Government,Other Institutions,56338750,98,,
1983,..,Newfoundland and Labrador,Provincial Government,Other Institutions,64131500,111,,
1984,..,Newfoundland and Labrador,Provincial Government,Other Institutions,65715000,113,,
1985,..,Newfoundland and Labrador,Provincial Government,Other Institutions,69668250,120,,
1986,..,Newfoundland and Labrador,Provincial Government,Other Institutions,76877000,133,,
1987,..,Newfoundland and Labrador,Provincial Government,Other Institutions,83587000,145,,
1988,..,Newfoundland and Labrador,Provincial Government,Other Institutions,90708500,158,,
1989,..,Newfoundland and Labrador,Provincial Government,Other Institutions,101997500,177,,
1990,..,Newfoundland and Labrador,Provincial Government,Other Institutions,114819250,199,,
1991,..,Newfoundland and Labrador,Provincial Government,Other Institutions,119422842,206,,
1992,..,Newfoundland and Labrador,Provincial Government,Other Institutions,109362545,189,,
1993,..,Newfoundland and Labrador,Provincial Government,Other Institutions,104732422,181,,
1994,..,Newfoundland and Labrador,Provincial Government,Other Institutions,105205020,183,,
1995,..,Newfoundland and Labrador,Provincial Government,Other Institutions,133584748,235,,
1996,..,Newfoundland and Labrador,Provincial Government,Other Institutions,172124311,308,,
1997,..,Newfoundland and Labrador,Provincial Government,Other Institutions,215421617,391,,
1998,..,Newfoundland and Labrador,Provincial Government,Other Institutions,227563364,422,,
1999,..,Newfoundland and Labrador,Provincial Government,Other Institutions,228395297,428,,
2000,..,Newfoundland and Labrador,Provincial Government,Other Institutions,244611418,463,,
2001,..,Newfoundland and Labrador,Provincial Government,Other Institutions,264207144,506,,
2002,..,Newfoundland and Labrador,Provincial Government,Other Institutions,275417968,530,,
2003,..,Newfoundland and Labrador,Provincial Government,Other Institutions,280344160,541,,
2004,..,Newfoundland and Labrador,Provincial Government,Other Institutions,281203194,543,,
2005,..,Newfoundland and Labrador,Provincial Government,Other Institutions,293182429,570,,
2006,..,Newfoundland and Labrador,Provincial Government,Other Institutions,299699238,587,,
2007,..,Newfoundland and Labrador,Provincial Government,Other Institutions,315280423,619,,
2008,..,Newfoundland and Labrador,Provincial Government,Other Institutions,349043369,682,,
2009,..,Newfoundland and Labrador,Provincial Government,Other Institutions,366017387,708,,
2010,..,Newfoundland and Labrador,Provincial Government,Other Institutions,377350653,723,,
2011,..,Newfoundland and Labrador,Provincial Government,Other Institutions,386601694,736,,
2012,..,Newfoundland and Labrador,Provincial Government,Other Institutions,387679550,737,,
2013,..,Newfoundland and Labrador,Provincial Government,Other Institutions,387124769,734,,
2014,..,Newfoundland and Labrador,Provincial Government,Other Institutions,408523640,773,,
2015,..,Newfoundland and Labrador,Provincial Government,Other Institutions,432588753,819,,
2016,..,Newfoundland and Labrador,Provincial Government,Other Institutions,447509764,845,,
2017,..,Newfoundland and Labrador,Provincial Government,Other Institutions,455533900,862,,
2018,..,Newfoundland and Labrador,Provincial Government,Other Institutions,478273405,910,,
2019,..,Newfoundland and Labrador,Provincial Government,Other Institutions,472639239,903,,
2020,f,Newfoundland and Labrador,Provincial Government,Other Institutions,462709049,886,,
2021,f,Newfoundland and Labrador,Provincial Government,Other Institutions,498038807,958,,
1975,..,Newfoundland and Labrador,Provincial Government,Physicians,25985000,47,,
1976,..,Newfoundland and Labrador,Provincial Government,Physicians,29922750,53,,
1977,..,Newfoundland and Labrador,Provincial Government,Physicians,31747250,56,,
1978,..,Newfoundland and Labrador,Provincial Government,Physicians,33186500,58,,
1979,..,Newfoundland and Labrador,Provincial Government,Physicians,36860000,65,,
1980,..,Newfoundland and Labrador,Provincial Government,Physicians,43725750,76,,
1981,..,Newfoundland and Labrador,Provincial Government,Physicians,50121250,87,,
1982,..,Newfoundland and Labrador,Provincial Government,Physicians,58756500,102,,
1983,..,Newfoundland and Labrador,Provincial Government,Physicians,65839000,114,,
1984,..,Newfoundland and Labrador,Provincial Government,Physicians,73202750,126,,
1985,..,Newfoundland and Labrador,Provincial Government,Physicians,77375250,134,,
1986,..,Newfoundland and Labrador,Provincial Government,Physicians,83574500,145,,
1987,..,Newfoundland and Labrador,Provincial Government,Physicians,92713500,161,,
1988,..,Newfoundland and Labrador,Provincial Government,Physicians,103110000,179,,
1989,..,Newfoundland and Labrador,Provincial Government,Physicians,112440000,195,,
1990,..,Newfoundland and Labrador,Provincial Government,Physicians,123598500,214,,
1991,..,Newfoundland and Labrador,Provincial Government,Physicians,126872250,219,,
1992,..,Newfoundland and Labrador,Provincial Government,Physicians,130541750,225,,
1993,..,Newfoundland and Labrador,Provincial Government,Physicians,132178250,228,,
1994,..,Newfoundland and Labrador,Provincial Government,Physicians,134915697,235,,
1995,..,Newfoundland and Labrador,Provincial Government,Physicians,138177832,244,,
1996,..,Newfoundland and Labrador,Provincial Government,Physicians,139848531,250,,
1997,..,Newfoundland and Labrador,Provincial Government,Physicians,150211072,273,,
1998,..,Newfoundland and Labrador,Provincial Government,Physicians,158913364,294,,
1999,..,Newfoundland and Labrador,Provincial Government,Physicians,167660399,314,,
2000,..,Newfoundland and Labrador,Provincial Government,Physicians,178464575,338,,
2001,..,Newfoundland and Labrador,Provincial Government,Physicians,188013706,360,,
2002,..,Newfoundland and Labrador,Provincial Government,Physicians,197504730,380,,
2003,..,Newfoundland and Labrador,Provincial Government,Physicians,243499388,470,,
2004,..,Newfoundland and Labrador,Provincial Government,Physicians,265519358,513,,
2005,..,Newfoundland and Labrador,Provincial Government,Physicians,275363410,535,,
2006,..,Newfoundland and Labrador,Provincial Government,Physicians,284151155,557,,
2007,..,Newfoundland and Labrador,Provincial Government,Physicians,294742017,579,,
2008,..,Newfoundland and Labrador,Provincial Government,Physicians,312065225,610,,
2009,..,Newfoundland and Labrador,Provincial Government,Physicians,331250985,641,,
2010,..,Newfoundland and Labrador,Provincial Government,Physicians,398820999,764,,
2011,..,Newfoundland and Labrador,Provincial Government,Physicians,427495600,814,,
2012,..,Newfoundland and Labrador,Provincial Government,Physicians,437924371,832,,
2013,..,Newfoundland and Labrador,Provincial Government,Physicians,453349709,860,,
2014,..,Newfoundland and Labrador,Provincial Government,Physicians,458749828,869,,
2015,..,Newfoundland and Labrador,Provincial Government,Physicians,465180355,881,,
2016,..,Newfoundland and Labrador,Provincial Government,Physicians,462965684,874,,
2017,..,Newfoundland and Labrador,Provincial Government,Physicians,491666932,931,,
2018,..,Newfoundland and Labrador,Provincial Government,Physicians,500037213,951,,
2019,..,Newfoundland and Labrador,Provincial Government,Physicians,489131423,934,,
2020,f,Newfoundland and Labrador,Provincial Government,Physicians,482802110,925,,
2021,f,Newfoundland and Labrador,Provincial Government,Physicians,498195158,958,,
1975,..,Newfoundland and Labrador,Provincial Government,Other Professionals,2449250,4,,
1976,..,Newfoundland and Labrador,Provincial Government,Other Professionals,2929750,5,,
1977,..,Newfoundland and Labrador,Provincial Government,Other Professionals,3228500,6,,
1978,..,Newfoundland and Labrador,Provincial Government,Other Professionals,4146750,7,,
1979,..,Newfoundland and Labrador,Provincial Government,Other Professionals,4593750,8,,
1980,..,Newfoundland and Labrador,Provincial Government,Other Professionals,5177500,9,,
1981,..,Newfoundland and Labrador,Provincial Government,Other Professionals,6851750,12,,
1982,..,Newfoundland and Labrador,Provincial Government,Other Professionals,8878000,15,,
1983,..,Newfoundland and Labrador,Provincial Government,Other Professionals,9508500,16,,
1984,..,Newfoundland and Labrador,Provincial Government,Other Professionals,9331500,16,,
1985,..,Newfoundland and Labrador,Provincial Government,Other Professionals,9418750,16,,
1986,..,Newfoundland and Labrador,Provincial Government,Other Professionals,9057250,16,,
1987,..,Newfoundland and Labrador,Provincial Government,Other Professionals,9416250,16,,
1988,..,Newfoundland and Labrador,Provincial Government,Other Professionals,9984750,17,,
1989,..,Newfoundland and Labrador,Provincial Government,Other Professionals,9969750,17,,
1990,..,Newfoundland and Labrador,Provincial Government,Other Professionals,10361000,18,,
1991,..,Newfoundland and Labrador,Provincial Government,Other Professionals,8655500,15,,
1992,..,Newfoundland and Labrador,Provincial Government,Other Professionals,7112500,12,,
1993,..,Newfoundland and Labrador,Provincial Government,Other Professionals,6336000,11,,
1994,..,Newfoundland and Labrador,Provincial Government,Other Professionals,6198709,11,,
1995,..,Newfoundland and Labrador,Provincial Government,Other Professionals,6135347,11,,
1996,..,Newfoundland and Labrador,Provincial Government,Other Professionals,5538135,10,,
1997,..,Newfoundland and Labrador,Provincial Government,Other Professionals,5511084,10,,
1998,..,Newfoundland and Labrador,Provincial Government,Other Professionals,5783576,11,,
1999,..,Newfoundland and Labrador,Provincial Government,Other Professionals,5697637,11,,
2000,..,Newfoundland and Labrador,Provincial Government,Other Professionals,5593874,11,,
2001,..,Newfoundland and Labrador,Provincial Government,Other Professionals,5369114,10,,
2002,..,Newfoundland and Labrador,Provincial Government,Other Professionals,5171973,10,,
2003,..,Newfoundland and Labrador,Provincial Government,Other Professionals,4975956,10,,
2004,..,Newfoundland and Labrador,Provincial Government,Other Professionals,4689641,9,,
2005,..,Newfoundland and Labrador,Provincial Government,Other Professionals,4369145,8,,
2006,..,Newfoundland and Labrador,Provincial Government,Other Professionals,4342004,9,,
2007,..,Newfoundland and Labrador,Provincial Government,Other Professionals,5533444,11,,
2008,..,Newfoundland and Labrador,Provincial Government,Other Professionals,6794376,13,,
2009,..,Newfoundland and Labrador,Provincial Government,Other Professionals,7016785,14,,
2010,..,Newfoundland and Labrador,Provincial Government,Other Professionals,7792430,15,,
2011,..,Newfoundland and Labrador,Provincial Government,Other Professionals,9859194,19,,
2012,..,Newfoundland and Labrador,Provincial Government,Other Professionals,23800917,45,,
2013,..,Newfoundland and Labrador,Provincial Government,Other Professionals,15398310,29,,
2014,..,Newfoundland and Labrador,Provincial Government,Other Professionals,12836780,24,,
2015,..,Newfoundland and Labrador,Provincial Government,Other Professionals,14339662,27,,
2016,..,Newfoundland and Labrador,Provincial Government,Other Professionals,14154273,27,,
2017,..,Newfoundland and Labrador,Provincial Government,Other Professionals,13678863,26,,
2018,..,Newfoundland and Labrador,Provincial Government,Other Professionals,13562158,26,,
2019,..,Newfoundland and Labrador,Provincial Government,Other Professionals,11857845,23,,
2020,f,Newfoundland and Labrador,Provincial Government,Other Professionals,8513125,16,,
2021,f,Newfoundland and Labrador,Provincial Government,Other Professionals,11611939,22,,
1975,..,Newfoundland and Labrador,Provincial Government,Drugs,3316000,6,,
1976,..,Newfoundland and Labrador,Provincial Government,Drugs,3448500,6,,
1977,..,Newfoundland and Labrador,Provincial Government,Drugs,3685000,7,,
1978,..,Newfoundland and Labrador,Provincial Government,Drugs,4318500,8,,
1979,..,Newfoundland and Labrador,Provincial Government,Drugs,5063250,9,,
1980,..,Newfoundland and Labrador,Provincial Government,Drugs,6918750,12,,
1981,..,Newfoundland and Labrador,Provincial Government,Drugs,8819000,15,,
1982,..,Newfoundland and Labrador,Provincial Government,Drugs,11061000,19,,
1983,..,Newfoundland and Labrador,Provincial Government,Drugs,13327750,23,,
1984,..,Newfoundland and Labrador,Provincial Government,Drugs,15437250,27,,
1985,..,Newfoundland and Labrador,Provincial Government,Drugs,17988250,31,,
1986,..,Newfoundland and Labrador,Provincial Government,Drugs,21440250,37,,
1987,..,Newfoundland and Labrador,Provincial Government,Drugs,24732000,43,,
1988,..,Newfoundland and Labrador,Provincial Government,Drugs,28174500,49,,
1989,..,Newfoundland and Labrador,Provincial Government,Drugs,31152250,54,,
1990,..,Newfoundland and Labrador,Provincial Government,Drugs,35324750,61,,
1991,..,Newfoundland and Labrador,Provincial Government,Drugs,40308750,70,,
1992,..,Newfoundland and Labrador,Provincial Government,Drugs,43855750,76,,
1993,..,Newfoundland and Labrador,Provincial Government,Drugs,47766000,82,,
1994,..,Newfoundland and Labrador,Provincial Government,Drugs,52097654,91,,
1995,..,Newfoundland and Labrador,Provincial Government,Drugs,54502140,96,,
1996,..,Newfoundland and Labrador,Provincial Government,Drugs,54501982,97,,
1997,..,Newfoundland and Labrador,Provincial Government,Drugs,53612494,97,,
1998,..,Newfoundland and Labrador,Provincial Government,Drugs,56052995,104,,
1999,..,Newfoundland and Labrador,Provincial Government,Drugs,60004197,113,,
2000,..,Newfoundland and Labrador,Provincial Government,Drugs,68032920,129,,
2001,..,Newfoundland and Labrador,Provincial Government,Drugs,77884653,149,,
2002,..,Newfoundland and Labrador,Provincial Government,Drugs,86879488,167,,
2003,..,Newfoundland and Labrador,Provincial Government,Drugs,96049290,185,,
2004,..,Newfoundland and Labrador,Provincial Government,Drugs,101723584,197,,
2005,..,Newfoundland and Labrador,Provincial Government,Drugs,106002196,206,,
2006,..,Newfoundland and Labrador,Provincial Government,Drugs,108139408,212,,
2007,..,Newfoundland and Labrador,Provincial Government,Drugs,116946468,230,,
2008,..,Newfoundland and Labrador,Provincial Government,Drugs,122290607,239,,
2009,..,Newfoundland and Labrador,Provincial Government,Drugs,128689904,249,,
2010,..,Newfoundland and Labrador,Provincial Government,Drugs,135938942,260,,
2011,..,Newfoundland and Labrador,Provincial Government,Drugs,145706911,278,,
2012,..,Newfoundland and Labrador,Provincial Government,Drugs,151436776,288,,
2013,..,Newfoundland and Labrador,Provincial Government,Drugs,146216900,277,,
2014,..,Newfoundland and Labrador,Provincial Government,Drugs,142571224,270,,
2015,..,Newfoundland and Labrador,Provincial Government,Drugs,147852641,280,,
2016,..,Newfoundland and Labrador,Provincial Government,Drugs,145421061,275,,
2017,..,Newfoundland and Labrador,Provincial Government,Drugs,147483530,279,,
2018,..,Newfoundland and Labrador,Provincial Government,Drugs,148552304,283,,
2019,..,Newfoundland and Labrador,Provincial Government,Drugs,151558103,290,,
2020,f,Newfoundland and Labrador,Provincial Government,Drugs,154991468,297,,
2021,f,Newfoundland and Labrador,Provincial Government,Drugs,161899800,311,,
1975,..,Newfoundland and Labrador,Provincial Government,Public Health,5871750,11,,
1976,..,Newfoundland and Labrador,Provincial Government,Public Health,6642000,12,,
1977,..,Newfoundland and Labrador,Provincial Government,Public Health,5472000,10,,
1978,..,Newfoundland and Labrador,Provincial Government,Public Health,6760250,12,,
1979,..,Newfoundland and Labrador,Provincial Government,Public Health,8338500,15,,
1980,..,Newfoundland and Labrador,Provincial Government,Public Health,9548500,17,,
1981,..,Newfoundland and Labrador,Provincial Government,Public Health,12157750,21,,
1982,..,Newfoundland and Labrador,Provincial Government,Public Health,14131500,25,,
1983,..,Newfoundland and Labrador,Provincial Government,Public Health,14613750,25,,
1984,..,Newfoundland and Labrador,Provincial Government,Public Health,14283250,25,,
1985,..,Newfoundland and Labrador,Provincial Government,Public Health,15726250,27,,
1986,..,Newfoundland and Labrador,Provincial Government,Public Health,16665205,29,,
1987,..,Newfoundland and Labrador,Provincial Government,Public Health,18174770,32,,
1988,..,Newfoundland and Labrador,Provincial Government,Public Health,19935606,35,,
1989,..,Newfoundland and Labrador,Provincial Government,Public Health,21165526,37,,
1990,..,Newfoundland and Labrador,Provincial Government,Public Health,23266477,40,,
1991,..,Newfoundland and Labrador,Provincial Government,Public Health,23197102,40,,
1992,..,Newfoundland and Labrador,Provincial Government,Public Health,23098230,40,,
1993,..,Newfoundland and Labrador,Provincial Government,Public Health,25664519,44,,
1994,..,Newfoundland and Labrador,Provincial Government,Public Health,28500353,50,,
1995,..,Newfoundland and Labrador,Provincial Government,Public Health,30803358,54,,
1996,..,Newfoundland and Labrador,Provincial Government,Public Health,35741130,64,,
1997,..,Newfoundland and Labrador,Provincial Government,Public Health,41777831,76,,
1998,..,Newfoundland and Labrador,Provincial Government,Public Health,51436431,95,,
1999,..,Newfoundland and Labrador,Provincial Government,Public Health,54634971,102,,
2000,..,Newfoundland and Labrador,Provincial Government,Public Health,55773538,106,,
2001,..,Newfoundland and Labrador,Provincial Government,Public Health,61259496,117,,
2002,..,Newfoundland and Labrador,Provincial Government,Public Health,73684355,142,,
2003,..,Newfoundland and Labrador,Provincial Government,Public Health,77271338,149,,
2004,..,Newfoundland and Labrador,Provincial Government,Public Health,80845770,156,,
2005,..,Newfoundland and Labrador,Provincial Government,Public Health,84048061,163,,
2006,..,Newfoundland and Labrador,Provincial Government,Public Health,75159990,147,,
2007,..,Newfoundland and Labrador,Provincial Government,Public Health,70441931,138,,
2008,..,Newfoundland and Labrador,Provincial Government,Public Health,76824368,150,,
2009,..,Newfoundland and Labrador,Provincial Government,Public Health,85560930,166,,
2010,..,Newfoundland and Labrador,Provincial Government,Public Health,85107482,163,,
2011,..,Newfoundland and Labrador,Provincial Government,Public Health,91230484,174,,
2012,..,Newfoundland and Labrador,Provincial Government,Public Health,98728138,188,,
2013,..,Newfoundland and Labrador,Provincial Government,Public Health,102290694,194,,
2014,..,Newfoundland and Labrador,Provincial Government,Public Health,106351529,201,,
2015,..,Newfoundland and Labrador,Provincial Government,Public Health,114237288,216,,
2016,..,Newfoundland and Labrador,Provincial Government,Public Health,119344714,225,,
2017,..,Newfoundland and Labrador,Provincial Government,Public Health,121468503,230,,
2018,..,Newfoundland and Labrador,Provincial Government,Public Health,124531463,237,,
2019,..,Newfoundland and Labrador,Provincial Government,Public Health,125818353,240,,
2020,f,Newfoundland and Labrador,Provincial Government,Public Health,135108936,259,,
2021,f,Newfoundland and Labrador,Provincial Government,Public Health,145215714,279,,
1975,..,Newfoundland and Labrador,Provincial Government,Administration,2411250,4,,
1976,..,Newfoundland and Labrador,Provincial Government,Administration,2714500,5,,
1977,..,Newfoundland and Labrador,Provincial Government,Administration,2810500,5,,
1978,..,Newfoundland and Labrador,Provincial Government,Administration,2977250,5,,
1979,..,Newfoundland and Labrador,Provincial Government,Administration,3324500,6,,
1980,..,Newfoundland and Labrador,Provincial Government,Administration,3830250,7,,
1981,..,Newfoundland and Labrador,Provincial Government,Administration,4442250,8,,
1982,..,Newfoundland and Labrador,Provincial Government,Administration,5975750,10,,
1983,..,Newfoundland and Labrador,Provincial Government,Administration,6149750,11,,
1984,..,Newfoundland and Labrador,Provincial Government,Administration,5526250,10,,
1985,..,Newfoundland and Labrador,Provincial Government,Administration,6259000,11,,
1986,..,Newfoundland and Labrador,Provincial Government,Administration,7183750,12,,
1987,..,Newfoundland and Labrador,Provincial Government,Administration,8792750,15,,
1988,..,Newfoundland and Labrador,Provincial Government,Administration,9542750,17,,
1989,..,Newfoundland and Labrador,Provincial Government,Administration,10771750,19,,
1990,..,Newfoundland and Labrador,Provincial Government,Administration,11564000,20,,
1991,..,Newfoundland and Labrador,Provincial Government,Administration,11222000,19,,
1992,..,Newfoundland and Labrador,Provincial Government,Administration,12253000,21,,
1993,..,Newfoundland and Labrador,Provincial Government,Administration,11576000,20,,
1994,..,Newfoundland and Labrador,Provincial Government,Administration,11835113,21,,
1995,..,Newfoundland and Labrador,Provincial Government,Administration,11476588,20,,
1996,..,Newfoundland and Labrador,Provincial Government,Administration,11430445,20,,
1997,..,Newfoundland and Labrador,Provincial Government,Administration,10366513,19,,
1998,..,Newfoundland and Labrador,Provincial Government,Administration,11002845,20,,
1999,..,Newfoundland and Labrador,Provincial Government,Administration,15112312,28,,
2000,..,Newfoundland and Labrador,Provincial Government,Administration,17495293,33,,
2001,..,Newfoundland and Labrador,Provincial Government,Administration,19913664,38,,
2002,..,Newfoundland and Labrador,Provincial Government,Administration,21039503,41,,
2003,..,Newfoundland and Labrador,Provincial Government,Administration,19040464,37,,
2004,..,Newfoundland and Labrador,Provincial Government,Administration,17369460,34,,
2005,..,Newfoundland and Labrador,Provincial Government,Administration,17805461,35,,
2006,..,Newfoundland and Labrador,Provincial Government,Administration,18603472,36,,
2007,..,Newfoundland and Labrador,Provincial Government,Administration,21312602,42,,
2008,..,Newfoundland and Labrador,Provincial Government,Administration,28952348,57,,
2009,..,Newfoundland and Labrador,Provincial Government,Administration,32309847,63,,
2010,..,Newfoundland and Labrador,Provincial Government,Administration,30839890,59,,
2011,..,Newfoundland and Labrador,Provincial Government,Administration,34232786,65,,
2012,..,Newfoundland and Labrador,Provincial Government,Administration,31909937,61,,
2013,..,Newfoundland and Labrador,Provincial Government,Administration,28938514,55,,
2014,..,Newfoundland and Labrador,Provincial Government,Administration,24450167,46,,
2015,..,Newfoundland and Labrador,Provincial Government,Administration,24206314,46,,
2016,..,Newfoundland and Labrador,Provincial Government,Administration,23447986,44,,
2017,..,Newfoundland and Labrador,Provincial Government,Administration,27955458,53,,
2018,..,Newfoundland and Labrador,Provincial Government,Administration,30680206,58,,
2019,..,Newfoundland and Labrador,Provincial Government,Administration,31843724,61,,
2020,f,Newfoundland and Labrador,Provincial Government,Administration,33028077,63,,
2021,f,Newfoundland and Labrador,Provincial Government,Administration,35995177,69,,
1975,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1976,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1977,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1978,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1979,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1980,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1981,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1982,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1983,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1984,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1985,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1986,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1987,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1988,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1989,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1990,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1991,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1992,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1993,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1994,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1995,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1996,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1997,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1998,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
1999,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
2000,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
2001,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
2002,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
2003,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
2004,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
2005,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
2006,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
2007,..,Newfoundland and Labrador,Provincial Government,Other health spending: Home and community care (HCC),,,,
